corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
840,it is burning (refers to forest or grass),ali,,g-ts,,burning,x
317,he/she is exchanging it,ali'it,ali'it,i-a-i,,ali'it|ali'it,
315,he/she is happy,aliheli,ali'eli,g-ts,,aliheli|ali'eli,
314,he/she is thanking him/her,alihelitsh,ali'elitsh,eh-el[imp3],,alihelitsh|ali'elitsh,
359,they are getting together,aliko,,hvsg-hn[inf2],,aliko|,
318,he/she is running away,alith,alith,rev-i,,alith|alith,
592,he/she is putting on his/her socks,aliyo,aliyo,hih-lh,,aliyo|aliyo,
593,he/she is changing his/her socks,aliyo,aliyo,ih-vh[imperf2-inf2],change-alt,aliyo|aliyo,
591,he/she is taking off his/her socks,aliyo,aliyo,rev-gi,,aliyo|aliyo,
324,he/she is spitting,altsikw,altsikw,sg-h,,altsikw|altsikw,
32,he/she is taking off running,anawhst,anawhst,ih-ohd,,anawhst|anawhst,
362,he is getting married,anel,anel,i-a-i,long,anel|anel,
361,he/she is attempting it,anelht,anelht,ih-ohd,,anelht|anelht-attempt,x
599,he/she is playing with him/her,anelht,anelht,ih-ohd,,anelht|anelht,
600,he/she is playing,anelo,anelo,hvsg-hn[inf2],,anelo|anelo,
189,he/she is putting on a shirt,anhaw,aniw,o,,anhaw|aniw,
559,he/she is putting on clothes,anhaw,aniw,o,,anhaw|aniw,
187,he/she is taking his/her shirt off,anhaw,aniw,rev-e,,anhaw|aniw,
558,he/she is undressing,anhaw,aniw,rev-e,,anhaw|aniw,
186,he/she is changing his/her shirt,anhaw,aniw,v-vhs,change-out[flexible],anhaw|aniw,
557,he/she is changing clothes,anhaw,aniw,v-vhs,change-out[flexible],anhaw|aniw,
191,he/she is wrestling,anhe,anhe,hih-lh,,anhe|anhe,
195,he/she is building a house,anhehsk,anehsk,eh-eh,,anhehsk|anehsk,
192,he/she is interpreting it,anhelht,anelht,ih-ohd,,anhelht|anelht,
196,he/she is leaving,anhi,ani,rev-gi,,anhi|ani-leave,x
1554,he/she is in bed,anhi,ani,stative-h,,anhi|ani-bed,x
197,he/she is starting it,anhikihst,anikihst,ih-ohd,,anhikihst|anikihst,
198,he/she is carrying it on his/her shoulder (refers to a long object),anholh,anolh,eg-vs,in,anholh|anolh,
39,he/she is thinking,anht,anvt,eh-hehl,,anht|anvt,
363,he/she is remembering him/her,anht,anvt,i-a-i,long,anht|anvt,
1462,he/she feels,anht,anvt,stative-h,,anht|anvt,
1646,he/she knows it,anht,anvt,stative-h,,anht|anvt,
41,he/she is pondering,anhtheh,anvtheh,o,repetitive,anhtheh|anvtheh,
1557,he/she is wearing a shirt,anhuw,,stative,,anhuw|,
1471,he/she is throwing it,at,at,eg-invs,,at|at,
4,it’s bouncing,at,at,eg-invs,,at|at,
5,he/she is limping,at,at,eg-invs[perf2],,at|at,
976,he/she is hanging it up,at,at,hvsg-han,,hang,x
766,he/she is removing it from a hanging position (refers to solid or flexible object),at,at,rev-e,,hang,x
759,it is hanging (refers to flexible object),at,at,stative-a',,hang,x
970,it’s hanging,at,at,stative-h,,hang,x
77,he/she is saying it,at,at,vnh-ih-a,,say,x
30,he/she is shopping,atananehs,atananehs,vhvsg[inf2],,atananehs|atananehs,
539,he/she is making an X,atanhawhst,atanawhst,ih-ohd,,atanhawhst|atanawhst,
542,he/she is accepting him/her,atanilv,atanilv,g-ts,,atanilv|atanilv,
46,he/she is ordering it,atanv,atanv,sg-s-la,,atanv|atanv,
51,it’s burning (refers to flames),atawelak,atawelak,i-a-i,,atawelak|atawelak,
21,he/she is denying him/her,atay,atay,hih-hil[imp2],,atay|atay,
22,he/she is committing adultery,atayhon,atayon,eh-el[imp4],,atayhon|atayon,
62,he/she is embarrassed,ateho,ate'o,sg-s-hi-hihst,,ateho|ate'o,
61,he/she is embarrassing him/her,atehohihst,ate'ohihst,ih-ohd,,atehohihst|ate'ohihst,
1778,he/she is going out of sight,ateli,,g-ts,,ateli|,
67,he/she is finding it out,ateloho,atelo'o,sg-s-hi-hihst,,ateloho|atelo'o,
1476,he/she is having a birthday,atethiy,,ih-vh,,atethiy|,
469,it’s exploding,athahs,,rev-gi,,athahs|,
463,he/she is holding his/her breath,athawhohst,a'tawhohst,ih-ohd,,athawhohst|a'tawhohst,
479,he/she is leading him/her,athinh,athinh,eg-vs[pres2],,athinh|athinh,
480,he/she is arguing,athiyo,a'tiyo,hih-lh,,athiyo|a'tiyo,
483,he/she is racing,athohk,athohk,a,leaving,athohk|athohk,
487,he/she is borrowing him/her,athol,athol,sg-s-a,,athol|athol,
486,he/she is loaning it to him/her,atholhst,atholhst,ih-ohd,,atholhst|atholhst,
491,he/she is taking a drink (refers to alcoholic beverage),athu,a'tu,rev-gi,,athu|a'tu,
498,he/she is growing,athv,a'tv,sg-s-hi-hihst,,athv|a'tv,
497,he/she is raising him/her,athvhihst,a'tvhihst,ih-ohd,,athvhihst|a'tvhihst,
496,he/she hears him/her,athvk,athvk,i-vka,,athvk|athvk,
495,he/she is asking him/her a question,athvt,athvt,vhvsg,,athvt|athvt,
1693,he/she is listening to him/her,athvtahst,athvtahst,ih-ohd,,athvtahst|athvtahst,
494,he/she is listening to him/her,athvtahst,athvtahst,ih-ohd,,athvtahst|athvtahst,
74,he/she is scattering it,atikaley,atikaley,a,,atikaley|atikaley,
75,it’s scattering,atikaleyo,,g-ts[inf3],,atikaleyo|,
1478,it’s hot,atilheh,,stative-k,,atilheh|,
6,he/she is bouncing it,atinvt,atinvt,ih-ohd,,atinvt|atinvt,
78,he/she is running over him/her,atinvt,atinvt,ih-ohd,,atinvt|atinvt,
73,he/she is rising (from a prone position),atit,atit,ih-vh,,atit|atit,
82,he/she is drinking it,atitha,atitha,sg-h[imp2],,atitha|atitha,
1481,he/she is getting well,atiw,,sg-s-hi-hihst,,atiw|,
87,he/she is turning off the road,atl,atl,rev-e,,atl|atl,
1485,he/she is disbelieving,atlahsithv',,eh-el,,atlahsithv'|,
1487,he/she is taking revenge,atle,,g-ts[inf2],,atle|,
88,he/she is taking revenge against him/her,atletsh,atletsh,eh-el[imp3],,atletsh|atletsh,
1489,he/she is wearing an earring,atli'at,,stative,,atli'at|,
547,he/she is weeping,atloy,atloy,hih-hil,,atloy|atloy,
98,he/she is crying,atloy,atloy,hih-hil,,atloy|atloy,
101,he/she is catching up with him/her,atlvtha,atlvtha,sg-h[imp2],,atlvtha|atlvtha,
777,it is falling from a hanging position (refers to flexible object),ato,ato,sg-s-hi-hihst,,ato|ato,
724,he/she is staggering,atokht,,ih-ohd,,atokht|,
776,he/she is dropping him/her (refers to flexible object),atonht,atonht,ih-ohd,,atonht|atonht,
238,it’s hatching,atsa',atsa',rev-i,,atsa'|atsa',
1576,he/she is inside it,atsa',atsa',stative,,atsa'|atsa',
239,he/she is dressing up,atsan,atsan,vnh-vsk[inf2],,atsan|atsan,
242,he/she is acting like him/her,atsel,atsel,vnh-vsk,,atsel|atsel,
1580,he/she is grinning,atsetst,,stative,,atsetst|,
490,he/she is lying,atsko,atsihsko,vsk-post-v,,atsko|atsihsko,
1585,it’s rattling,atsonat,,stative-h,,atsonat|,
254,he/she is blowing,atsotha,atsotha,sg-h[imp2],,atsotha|atsotha,
489,he/she is taking a bite,atst,atsihst,rev-e,,atst|atsihst,
1507,he/she wants it,atul,,ih-vh,,atul|,
109,he/she is preparing it,atvnv'ihst,atvnv'ihst,ih-ohd,,atvnv'ihst|atvnv'ihst,
1508,he/she is willing,atvnv'ihst,atvnv'ihst,stative,,atvnv'ihst|atvnv'ihst,
544,he/she is performing baptism,aw,aw,o,,aw|aw,
56,he/she is bathing,aw,aw,o,,aw|aw,
979,he/she is bathing him/her,aw,aw,o,,aw|aw,
1258,he/she is breathing,awholat,a'wolat,rev-e,,awholat|a'wolat,
980,he/she is replying,awohil,awo'il,v-vhs,change-out,awohil|awo'il,
223,he/she is swimming (refers to propelling oneself through the water),ayhu',ayu',eg-vs,in,ayhu'|ayu',
63,he/she is being born,e,e,hvsg-hn,,e|e,
746,he/she lives,e,e,stative-h,,e|e,
1710,he/she is aching,ehihstan,,eh-el,,ehihstan|,
752,he/she thinks so,el,el,i-a-i[perf2],,el|el,
993,he/she is howling,elhu,elu,hvsg-hn[inf3],,elhu|elu,
997,he/she is leading it by a leash,elihsin,,eg-vs,,elihsin|,
742,he/she is walking around,et,et,oh-ol-a,,et|et,
165,he/she is leaving it behind,h,',a,leaving,h|',
160,he/she is handling it,h,',oh-ol-a,be-at,h|',
205,he/she is moving it from one place to another,h,',v-vhs,,h|',
1531,he/she is yawning,halhok,,eh-eh,,halhok|,
155,he/she is diverting him/her,halu,'alu,rev-gi,,halu|'alu,
1534,he/she is having trouble breathing,hawohst,'awohst,ih-ohd,,hawohst|'awohst,
158,he/she is smothering him/her,hawohst,'awohst,ih-ohd,,hawohst|'awohst,
1535,there is dew,hihsat,,stative-h,,hihsat|,
1537,it’s lonesome,hihsoht,,stative,,hihsoht|,
1536,he/she is lonesome,hihsohtan,,eh-el,,hihsohtan|,
179,it’s shattering,hkhot,,vnh-vsk,,hkhot|,
180,he/she is shattering it,hkhotht,khotht,ih-ohd,,hkhotht|khotht,
383,he/she is braiding it,hs,hs,oh-ol,spin,hs|hs,
325,he/she is ascending,hsalat,hsalat,i-vka,,hsalat|hsalat,
374,he/she is lifting him/her,hsalat,hsalat,i-vka,,hsalat|hsalat,
373,he/she is setting a trap,hsat,hsat,vsk[imp2],,hsat|hsat,
400,he/she is reprimanding him/her,hska,hska,g-ts[inf3],,hska|hska,
405,he/she is committing a crime,hskanv,hskanv,g-ts[inf3],,hskanv|hskanv,
608,he/she is cursing him/her,hskin,hskin,i-a-i,long,hskin|hskin,
411,he/she is gnawing it,hskok,hskok,i-a-i,,hskok|hskok,
337,he/she is permitting him/her,hskolhtan,hskolhtan,eh-el,,hskolhtan|hskolhtan,
416,it’s fading,hskolv,,g-ts[inf3],,hskolv|,
412,he/she is mourning for him/her,hskon,hskon,hih-hil,,hskon|hskon,
338,he/she is nodding his/her head,hsku,hsku,sg-h-hy,,hsku|hsku,
339,it’s ending,hskw,hskw,i-a-i,long,hskw|hskw,
419,he/she is finishing it,hskw,hskw,i-a-i,long,hskw|hskw,
423,it’s getting shorter,hskwal,hskwal,g-ts[inf3],become-long[o],hskwal|hskwal,
425,he/she is hitting him/her on the head with it (refers to a long object),hskwal,hskwal,ih-il,hitting[il],hskwal|hskwal,
424,he/she is breaking it (refers to a long object),hskwal,hskwal,sg-s-a[inf2],,hskwal|hskwal,
421,he/she is catching him/her (refers to a falling person or object),hskwalh,hskwalh,rev-e,,hskwalh|hskwalh,
340,he/she is sticking his/her head out,hskwalut,hskwalut,i-vka,,hskwalut|hskwalut,
1621,he/she is sticking his/her head out,hskwalut,hskwalut,stative,,hskwalut|hskwalut,
427,he/she is amazed,hskwaniko,hskwaniko,sg-s-hi-hihst,,hskwaniko|hskwaniko,
341,he/she is taking his/her hat off,hskwethuh,hskwethuh,rev-gi,,hskwethuh|hskwethuh,
1622,he/she is wearing a hat,hskwethuh,hskwethuh,stative-k,,hskwethuh|hskwethuh,
429,he/she is hitting him/her on the abdomen with it (refers to a long object),hskwohal,hskwohal,ih-il,hitting[il],hskwohal|hskwohal,
436,he/she is roping him/her,hslh,hslh,i-a-i,long,hslh|hslh,
344,he/she is setting a goal,hsohst,hsohst,ih-ohd,,hsohst|hsohst,
594,he/she is aiming at him/her,hsohst,hsohst,ih-ohd,,hsohst|hsohst,
441,he/she is wounding him/her,hson,hson,vnh-vsk[inf4],,hson|hson,
386,he/she is crushing it,hst,hst,o,,hst|hst,
377,he/she is making it crisp,hstakayht,hstakayht,ih-ohd,,hstakayht|hstakayht,
378,it’s becoming crisp,hstakayv,,hih-lh,,hstakayv|,
1616,it’s happening to him,hstanh,,eh-el[imp2],,hstanh|,
380,he/she is drawing a line,hstanvn,hstanvn,hvsg-han,,hstanvn|hstanvn,
381,he/she is following him/her,hstawat,hstawat,eg-vs,,hstawat|hstawat,
327,he/she is eating a meal,hstay,hstay,vhvsg,,hstay|hstay,
48,he/she is cooking a meal,hstay,hstay,vhvsg,,hstay|hstay,
604,he/she is shooting at him/her,hstayo,hstayo,hih-lh[imp2],,hstayo|hstayo,
329,he/she is helping,hstel,hstel,ih-vh,,hstel|hstel,
382,he/she is helping him/her,hstel,hstel,ih-vh,,hstel|hstel,
384,he/she is eating it (refers to a long object),hstik,hstik,i-a-i,,hstik|hstik,
605,he/she is splitting it,hstlu,hstlu,sg-h-hy,,hstlu|hstlu,
388,he/she is trimming it (refers to hair‚ grass‚ hedge; but not paper‚ cloth),hstoy,hstoy,eh-a,,hstoy|hstoy,
390,he/she is opening it,hstu,hstu,rev-'i,,hstu|hstu,
331,he/she is washing his/her hair,hstul,hstul,eh-a,,hstul|hstul,
332,he/she is putting on a cap,hstul,hstul,i-vka,,hstul|hstul,
330,he/she is taking off his/her cap,hstul,hstul,rev-e,,hstul|hstul,
1618,he/she is wearing a cap,hstul,hstul,stative,,hstul|hstul,
606,he/she is sprinkling it (with liquid),hstutl,hstutl,i-a-i,,hstutl|hstutl,
392,he/she is sandwiching it,hstvhal,hstvhal,hvsg-han,,hstvhal|hstvhal,
334,he/she is taking a seat,hstvl,hstvl,husg,,hstvl|hstvl,
449,he/she is quitting,hsuli,hsuli,go-gots,,hsuli|hsuli,
445,he/she is painting it,hsuwh,hsuwh,i-a-ihsk,,hsuwh|hsuwh,
455,it smells,hsv,hsv,g-ts,,hsv|hsv,
459,he/she is drinking it up,hsv,hsv,ohvsg-no-o,,hsv|hsv-drink-up,x
345,he/she is smelling it (refers to sniffing),hsvhst,hsvhst,ih-ohd,,hsvhst|hsvhst,
612,he/she is scheduling a time,hsvhst,hsvhst,ih-ohd,,hsvhst|hsvhst,
555,he/she is jumping,hthat,that,eg-invs,,hthat|that,
183,he/she is combing his/her hair,hthaw,thaw,o,,hthaw|thaw,
185,he/she is moving (without changing location),hthel,thel,vhvsg,,hthel|thel,
177,he/she is preaching,htsato,tsato,hvsg-hn[inf2],,htsato|tsato,
200,he/she is putting it in liquid (refers to a long object),hu,'u,i-a-i,long[no-a],hu|'u,
204,he/she is hitting him/her on the mouth,hul,'ul,ih-il,hitting[il],hul|'ul,
561,he/she is putting fuel into a fire (refers to solid fuel),hvt,'vt,hvsg-han,,hvt|'vt,
127,he/she is eating it (refers to a single solid food),k,k,i-a-i,,k|k,
115,he/she is licking it,kana,kana,i-a-i,long[no-a],kana|kana,
117,he/she is warming it,kanawht,kanawot,ih-ohd,,kanawht|kanawot,
118,it’s getting warm,kanawo,,sg-s-hi-hihst,,kanawo|,
1514,he/she is becoming warm,kanawo,,sg-s-hi-hihst,,kanawo|,
1451,he/she loves,keyu,keyu,stative-s,,keyu|keyu,
1516,he/she is possessive of him/her,keyu,keyu,stative-s,,keyu|keyu,
27,he/she is looking at himself/herself in a mirror,kh,kh,eh-eh,,kh|kh,
565,he/she is tying it,khane,kane,hih-lh,,khane|kane,
566,he/she is untying it,khaneyh,kaneyh,ih-vh[inf2],,khaneyh|kaneyh,
567,he/she is looking after him/her,khanowat,kanowat,oh-ol-a,be-at,khanowat|kanowat,
259,he/she is chasing him/her,kheh,kheh,eg-vs,,kheh|kheh,
568,he/she is becoming blind,khewa,'kewa,g-ts[inf2],,khewa|'kewa,
263,he/she is swallowing it,khi,'ki,sg-s-hi-hihst,,khi|'ki,
266,he/she is shovelling it,khot,khot,rev-e,,khot|khot,
270,he/she is going down-hill,khso,kahso,sg-s-hi-hihst,,khso|kahso,
728,he/she is vomiting,khst,,ih-ohd,,khst|,
571,he/she is making smoke,khsvhst,kahsvhst,ih-ohd,,khsvhst|kahsvhst,
278,he/she is hitting him/her on the eye,khth,kath,hvsg-hn,hit-on[no-t],khth|kath,
1765,he/she is heading in the direction of,khth,kath,stative,,khth|kath,
273,he/she knows how,khtha,katha,stative-h,,khtha|katha,
280,he/she is looking around,khthen,kathen,oh-ol[inf3],,khthen|kathen,
574,he/she is attacking him/her,khthil,kathil,eg-vs,,khthil|kathil,
290,he/she is going through it,khthvle,kathvle,sg-s-hi-hihst,,khthvle|kathvle,
577,he/she is shelling corn,khtlh,katlh,ih-vh[inf2],,khtlh|katlh,
291,he/she is dipping liquid,khu,'ku,rev-gi,,khu|'ku,
1597,it’s foggy,khvhat,,stative,,khvhat|,
133,he/she is chewing it,kihst,kihst,o,,kihst|kihst,
130,he/she is in agony,kilhiyo,kiliyo,g-ts,,kilhiyo|kiliyo,
1524,it’s decaying,ko,,sg-s-hi-hihst,,ko|,
138,he/she is reading,koliy,koliy,e-a,,koliy|koliy,
1523,he/she is late,konhiy,,g-ts,become-long[o],konhiy|,
145,he/she is showing it to him/her,kowhthvht,kowhthvht,ih-ohd,,kowhthvht|kowhthvht,
148,he/she is cutting it,kvhal,kv'al,ih-vh,,kvhal|kv'al,
149,he/she is chopping it up,kvhaluy,kv'aluy,sg-h,,kvhaluy|kv'aluy,
152,he/she is scolding him/her,kvhskol,kvhskol,vsk[imp2],,kvhskol|kvhskol,
550,he/she is setting a price,kvwalht,kvwalot,ih-ohd,,kvwalht|kvwalot,
76,he/she is spinning,kwalv,kwalv,oh-ol[inf2],spin,kwalv|kwalv,
725,he/she is getting a rash,kwenothi,,sg-s-hst[imp2],,kwenothi|,
578,he/she is snoring,kwhala,kwhala,rev-gi,,kwhala|kwhala,
1599,he/she is not having luck at hunting,kwhol,,eg-vs,,kwhol|,
864,he/she is beating him/her up,l,l,hih-hil,hitting[hil],l|l,
811,he/she is putting it in a hole or a container,l,l,hvsg-han,,l|l,
830,he/she is putting it in a container (refers to a long object),l,l,i-a-i,long,l|l,
833,he/she is taking it out of a container (refers to a solid or flexible object),l,l,rev-e,,l|l,
