corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
162,168,he/she has possession of a vehicle,ahi'leh,tsi'ileh,ahi'leh,,,uhi'lvhst
163,169,he/she is driving it,ahi'l,tsi'il,ahi'lihs,uhi'lvhs,,uhi'lvhst
165,171,he/she is leaving it behind,ahiya',tsi'iya',ahiyahsk,uhiy,hihiya,uhiyahst
166,172,he/she is placing it on something,alhahvhsk,tsilhahvhsk,alhahvhsk,ulhanh,hilhahvka,ulhoht
167,173,he/she is taking off flying,alhawitih,katlawitih,alhawitihsk,ulhawitvh,halhawita,ulhawitht
169,175,he/she is making him/her fly,alhawithtih,tsiyatlawithtih,alhawithtihsk,ulhawithtan,hiyatlawithta,ulhawithtoht
171,177,he/she is having a nightmare,alhiki',katliki',alhikihsk,ulhikihs,halhiki,ulhikihst
172,178,it’s taking time,alhi'ilitoh,,alhi'ilitoh,ulhi'ilitol,,ulhi'ilitahst
173,179,he/she is measuring it,alhilo',katlilo',alhilohsk,ulhilo',halhilotsa,ulhilohst
175,181,it’s bending,alhiyvhkwitvhsk,,alhiyvhkwitvhsk,ulhiyvhkwitvn,,ulhiyvhkwitvt
176,182,he/she is snorting,alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhstihsk,ulhiyvhsanawhsthan,halhiyvhsanawhsta,ulhiyvhsanawhstoht
177,183,he/she is preaching,alhtsatohvhsk,kalitsatohvhsk,alhtsatohvhsk,ulhtsatonh,halhtsatohvka,ulhtsatht
179,185,it’s shattering,alhkhotvhsk,,alhkhotvhsk,ulhkhotvnh,,
180,186,he/she is shattering it,alhkhothtih,kalikhothtih,alhkhothtihsk,ulhkhoththan,halhkhothta,ulhkhothtoht
182,188,he/she is beating him/her at a game,alhohsk,tsilhohsk,alhohsk,ulhohs,hilhohi,ulhohihst
183,189,he/she is combing his/her hair,alhthawo',kalithawo',alhthawohsk,ulhthawo',halhthawotsa,ulhthawohst
185,191,he/she is moving,alhthelvhvhsk,kalithelvhvhsk,alhthelvhvhsk,ulhthelvnh,halhthelvhvka,ulhthelht
186,192,he/she is changing his/her shirt,anhawa'iyv',kaniwa'iyv',anhawa'iyvhsk,unhawa'iyvhs,hanhawa'iyvna,unhawa'iyvhst
187,193,he/she is taking his/her shirt off,anhawe',kaniwe',anhawehsk,unhawehs,hanhawaki,unhawehst
189,195,he/she is putting on a shirt,anhawo',kaniwo',anhawohsk,unhawo',hanhawotsa,unhawohst
190,196,he/she is giving it to him/her,anheh,tsineh,anheh,unhel,hi'vhsi,unheht
191,197,he/she is wrestling,anhehih,kanhehih,anhehih,unhelh,hanheka,unhehst
192,198,he/she is interpreting it,anhelhtih,kanelhtih,anhelhtihsk,unhelhthan,hanhelhta,unhelhtoht
194,200,he/she is frolicking,anhetsohsk,kanetsohsk,anhetsohsk,unhetson,hanhetso'vka,unhetsot
195,201,he/she is building a house,anhehskeh,kanehskeh,anhehskehsk,unhehskeh,hanhehskvla,unhehskeht
196,202,he/she is leaving,anhiki',kaniki',anhikihsk,unhikihs,hanhiki,unhikihst
197,203,he/she is starting it,anhikihstih,kanikihstih,anhikihstihsk,unhikihsthan,hanhikihsta,unhikihstoht
198,204,he/she is carrying it on his/her shoulder,anholhinek,kanolhinek,anholhinek,unholhinvhs,hanholhinuka,unholhinvhst
200,206,he/she is putting it in liquid,ahuti',tsi'uti',ahutihsk,uhut,hihuta,uhutihst
204,210,he/she is hitting him/her on the mouth,ahulvnih,tsi'ulvnih,ahulvnih,uhulvnil,hi'ulvnika,uhulvnihst
205,211,he/she is moving it from one place to another,ahv',tsi'v',ahvhsk,uhvhs,hihvna,uhvhst
206,212,he/she is setting it down,ahvhsk,tsi'vhsk,ahvhsk,unh,hihvka,uht
207,213,he/she is finding him/her,awhahthih,tsiwahthih,awhahthihsk,uwhahthvh,hiwahtha,uwhahthvht
208,214,he/she is visiting him/her,awhahthvhitoh,tsiwahthvhitoh,awhahthvhitoh,uwhahthvhitol,hiwahthvhita,uwhahthvhitahst
209,215,he/she is taking it somewhere,awhitih,tsiwitih,awhitihsk,uwhitvh,hiwhita,uwitht
210,216,he/she is planting it,awhihsk,tsiwihsk,awhihsk,uwhihs,hiwhi,uwhihst
212,218,he/she is peeling it,ayhahkhetsk,tsiyahkhetsk,ayhahkhetsk,uyhahkhets,hiyhahkhetsa,uyhahkhetst
214,220,it’s becoming frosty,ayhahthvhvhsk,,ayhahthvhvhsk,uyhahthvnh,,uyhahthvtht
215,221,he/she is calling him/her,ayhanih,tsiyanih,ayhanihsk,uyhanvh,hiyana,uyhanht
