corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive
74,he/she is scattering it,glottal-sk,atikaleya,katikaleya,atikaleya,utikaley,hatikaley,utikaleya
75,it’s scattering,become-ki,atikaleyo,,atikaleyo,utikaleyo,,utikaleyoy
75,it’s scattering,become-ki[inf3],atikaleyo,,atikaleyo,utikaleyo,,utikaleyo
76,he/she is spinning,oh-ol[inf2],atikwalvtey,katikwalvtey,atikwalvtey,utikwalvtey,hatikwalvtey,utikwalvtey
77,he/she is saying it,vnh-ih-a,at,kat,at,ut,hat,ut
78,he/she is running over him/her,cause,atinvt,tsiyatinvt,atinvt,utinvt,hiyatinvt,utinvt
78,he/she is running over him/her,cause[perf3],atinvt,tsiyatinvt,atinvt,utinvth,hiyatinvt,utinvt
78,he/she is running over him/her,cause[pres2],atinvtih,tsiyatinvtih,atinvt,utinvt,hiyatinvt,utinvt
78,he/she is running over him/her,cause[pres2-perf3],atinvtih,tsiyatinvtih,atinvt,utinvth,hiyatinvt,utinvt
79,he/she is hiding,hvsk-han,atihskal,katihskal,atihskal,utihskal,hatihskal,utihskal
80,he/she is leaving it behind,glottal-sk,atihsiya,tsitihsiya,atihsiya,utihsiy,hitihsiy,utihsiya
80,he/she is leaving it behind,leaving,atihs,tsitihs,atihs,utihs,hitihs,utihs
82,he/she is drinking it,sk-h,atitha,katitha,atitha,utitha,hatit,utitha
82,he/she is drinking it,sk-h[imp2],atitha,katitha,atitha,utitha,hatitha,utitha
85,he/she is scratching,sk-s-hst[imp2],atlako,katlako,atlako,utlako,hatlakol,utlako
85,he/she is scratching,sk-s-hst[imp4],atlako,katlako,atlako,utlako,hatlakol,utlako
85,he/she is scratching,sk-s-la,atlako,katlako,atlako,utlako,hatlako,utlako
85,he/she is scratching,sk-s-hst,atlako,katlako,atlako,utlako,hatlakola,utlako
87,he/she is turning off the road,rev-e,atl,katl,atl,utl,hatl,utl
88,he/she is taking revenge against him/her,apl,atletsh,tsiyatletsh,atletsh,utletsh,hiyatletshi,utletsh
88,he/she is taking revenge against him/her,apl[imp2],atletsh,tsiyatletsh,atletsh,utletsh,hiyatletshi,utletsh
88,he/she is taking revenge against him/her,apl[imp3],atletsh,tsiyatletsh,atletsh,utletsh,hiyatletsh,utletsh
92,he/she is pouring liquid into a container,glottal-sk,atli,tsitli,atli,utl,hitlik,utli
94,it’s pouring into a container,become-ki,atli,,atli,utli,,utliy
94,it’s pouring into a container,become-ki[inf3],atli,,atli,utli,,utli
95,he/she is drawing a liquid out of a container,ih-vh,atl,tsitl,atl,utl,hitl,utlv
95,he/she is drawing a liquid out of a container,ih-vh[inf2],atl,tsitl,atl,utl,hitl,utl
96,he/she is pouring a liquid into a container,cause,atlihst,tsitlihst,atlihst,utlihst,hitlihst,utlihst
96,he/she is pouring a liquid into a container,cause[perf3],atlihst,tsitlihst,atlihst,utlihsth,hitlihst,utlihst
96,he/she is pouring a liquid into a container,cause[pres2],atlihstih,tsitlihstih,atlihst,utlihst,hitlihst,utlihst
96,he/she is pouring a liquid into a container,cause[pres2-perf3],atlihstih,tsitlihstih,atlihst,utlihsth,hitlihst,utlihst
98,he/she is crying,hih-hil,atloy,katloy,atloy,utloy,hatloy,utloy
99,he/she is getting off,sk-s-hi-hihst,atloy,katloy,atloy,utloy,hatlo,utlo
99,he/she is getting off,sk-s-hst[imp3],atloy,katloy,atloy,utloy,hatlo,utlohi
99,he/she is getting off,sk-s-hst,atloy,katloy,atloy,utloy,hatlohi,utlohi
100,he/she is bragging,sk-s-a-hihst,atlvkw,katlvkwa,atlvkw,utlvkw,hatlvkwh,utlvkw
100,he/she is bragging,sk-s-hst[imp2],atlvkw,katlvkwa,atlvkw,utlvkw,hatlvkwh,utlvkwhi
100,he/she is bragging,sk-s-hst[imp4],atlvkw,katlvkwa,atlvkw,utlvkw,hatlvkwh,utlvkwhi
100,he/she is bragging,sk-s-hst,atlvkw,katlvkwa,atlvkw,utlvkw,hatlvkwha,utlvkwhi
101,he/she is catching up with him/her,sk-h,atlvtha,tsiyatlvtha,atlvtha,utlvtha,hiyatlvt,utlvtha
101,he/she is catching up with him/her,sk-h[imp2],atlvtha,tsiyatlvtha,atlvtha,utlvtha,hiyatlvtha,utlvtha
107,he/she is acting silly,vnh-ih-a,atvnel,katvnel,atvnel,utvnel,hatvnel,utvnel
109,he/she is preparing it,cause,atvnv'ihst,katvnv'ihst,atvnv'ihst,utvnv'ihst,hatvnv'ihst,utvnv'ihst
109,he/she is preparing it,cause[perf3],atvnv'ihst,katvnv'ihst,atvnv'ihst,utvnv'ihsth,hatvnv'ihst,utvnv'ihst
109,he/she is preparing it,cause[pres2],atvnv'ihstih,katvnv'ihstih,atvnv'ihst,utvnv'ihst,hatvnv'ihst,utvnv'ihst
109,he/she is preparing it,cause[pres2-perf3],atvnv'ihstih,katvnv'ihstih,atvnv'ihst,utvnv'ihsth,hatvnv'ihst,utvnv'ihst
113,he/she is breaking it,sk-s-hst[imp2],akal,tsikal,akal,ukal,hika'l,ukal
113,he/she is breaking it,sk-s-hst[imp4],akal,tsikal,akal,ukal,hika'l,ukal
113,he/she is breaking it,sk-s-la,akal,tsikal,akal,ukal,hika',ukal
113,he/she is breaking it,sk-s-hst,akal,tsikal,akal,ukal,hika'la,ukal
115,he/she is licking it,glottal-sk,akanati,tsikanati,akanati,ukanat,hikanat,ukanati
115,he/she is licking it,long,akan,tsikan,akan,ukan,hikan,ukan
115,he/she is licking it,long-no-a,akana,tsikana,akana,ukana,hikana,ukana
117,he/she is warming it,cause,akanawht,tsikanawot,akanawht,ukanawht,hikanawht,ukanawht
117,he/she is warming it,cause[perf3],akanawht,tsikanawot,akanawht,ukanawhth,hikanawht,ukanawht
117,he/she is warming it,cause[pres2],akanawhtih,tsikanawotih,akanawht,ukanawht,hikanawht,ukanawht
117,he/she is warming it,cause[pres2-perf3],akanawhtih,tsikanawotih,akanawht,ukanawhth,hikanawht,ukanawht
118,it’s getting warm,sk-s-hi-hihst,akanawo,,akanawo,ukanawo,,ukanawo
118,it’s getting warm,sk-s-hst,akanawo,,akanawo,ukanawo,,ukanawohi
119,it’s raining,aspectless,akahsk,,akahsk,ukanhan,,ukan
127,he/she is eating it,glottal-sk,aki,tsiki,aki,uk,hik,uki
128,he/she is picking it up,rev-gi,a,tsi,a,u,hi,u
128,he/she is picking it up,rev-i,ak,tsik,ak,uk,hik,uk
130,he/she is in agony,become-ki,akilhiyo,tsikiliyo,akilhiyo,ukilhiyo,hikilhiyo,ukilhiyo
133,he/she is chewing it,glottal-sk,akihsto,tsikihsto,akihsto,ukihsto',hikihstots,ukihsto
133,he/she is chewing it,o,akihst,tsikihst,akihst,ukihst,hikihst,ukihst
135,he/she is burning him/her,cause,akohvhst,tsiyakohvhst,akohvhst,ukohvhst,hiyakohvhst,ukohvhst
135,he/she is burning him/her,cause[perf3],akohvhst,tsiyakohvhst,akohvhst,ukohvhsth,hiyakohvhst,ukohvhst
135,he/she is burning him/her,cause[pres2],akohvhstih,tsiyakohvhstih,akohvhst,ukohvhst,hiyakohvhst,ukohvhst
135,he/she is burning him/her,cause[pres2-perf3],akohvhstih,tsiyakohvhstih,akohvhst,ukohvhsth,hiyakohvhst,ukohvhst
136,it’s burning,sk-h,akohv,kakohv,akohv,ukon,hakon,ukohv
136,it’s burning,sk-h[imp2],akohv,kakohv,akohv,ukon,hakonha,ukohv
136,it’s burning,terminative,ak,kak,ak,uk,hak,uk
136,it’s burning,terminative-no-o,ako,kako,ako,uko,hako,uko
138,he/she is reading,e-a,akoliy,tsikoliy,akoliy,ukoliy,hikoliy,ukoliy
140,he/she is target practicing,ih-vh,akon,kakon,akon,ukon,hakon,ukon
145,he/she is showing it to him/her,cause,akowhthvht,tsikowhthvht,akowhthvht,ukowhthvht,hikowhthvht,ukowhthvht
145,he/she is showing it to him/her,cause[perf3],akowhthvht,tsikowhthvht,akowhthvht,ukowhthvhth,hikowhthvht,ukowhthvht
145,he/she is showing it to him/her,cause[pres2],akowhthvhtih,tsikowhthvhtih,akowhthvht,ukowhthvht,hikowhthvht,ukowhthvht
145,he/she is showing it to him/her,cause[pres2-perf3],akowhthvhtih,tsikowhthvhtih,akowhthvht,ukowhthvhth,hikowhthvht,ukowhthvht
149,he/she is chopping it up,sk-h,akvhaluy,tsikv'aluy,akvhaluy,ukvhaluy,hikvhaluy,ukvhaluy
149,he/she is chopping it up,sk-h-yh,akvhaluy,tsikv'aluy,akvhaluy,ukvhalu,hikvhalu,ukvhaluy
149,he/she is chopping it up,sk-h[imp2],akvhaluy,tsikv'aluy,akvhaluy,ukvhaluy,hikvhaluyha,ukvhaluy
152,he/she is scolding him/her,vsk,akvhskol,tsikvhskol,akvhskol,ukvhskol,hikvhskolv',ukvhskol
152,he/she is scolding him/her,vsk[imp2],akvhskol,tsikvhskol,akvhskol,ukvhskol,hikvhskol,ukvhskol
153,he/she is washing his face,glottal-sk,akvhskwo,kakvhskwo,akvhskwo,ukvhskwo',hakvhskwots,ukvhskwo
153,he/she is washing his face,o,akvhskw,kakvhskw,akvhskw,ukvhskw,hakvhskw,ukvhskw
155,he/she is diverting him/her,rev-gi,ahalu,tsi'alu,ahalu,uhalu,hi'alu,uhalu
155,he/she is diverting him/her,rev-i,ahaluk,tsi'aluk,ahaluk,uhaluk,hi'aluk,uhaluk
158,he/she is smothering him/her,cause,ahawohst,tsi'awohst,ahawohst,uhawohst,hi'awohst,uhawohst
158,he/she is smothering him/her,cause[perf3],ahawohst,tsi'awohst,ahawohst,uhawohsth,hi'awohst,uhawohst
158,he/she is smothering him/her,cause[pres2],ahawohstih,tsi'awohstih,ahawohst,uhawohst,hi'awohst,uhawohst
158,he/she is smothering him/her,cause[pres2-perf3],ahawohstih,tsi'awohstih,ahawohst,uhawohsth,hi'awohst,uhawohst
160,he/she is handling it,be-at,ah,tsi',ah,uh,hih,uh
160,he/she is handling it,be-at-weak,ahit,tsi'it,ahit,uhit,hihit,uhit
161,he/she is killing him/her,hih-lh,a,tsi,a,u,hilu,uhi
161,he/she is killing him/her,hih-lh[inf2],a,tsi,a,u,hilu,u
161,he/she is killing him/her,hih-lh[imp2],a,tsi,a,u,hiluk,uhi
161,he/she is killing him/her,hih-lh[imp2-inf2],a,tsi,a,u,hiluk,u
165,he/she is leaving it behind,glottal-sk,ahiya,tsi'iya,ahiya,uhiy,hihiy,uhiya
165,he/she is leaving it behind,leaving,ah,tsi',ah,uh,hih,uh
166,he/she is placing it on something,hvsk-nh,alha,tsilha,alha,ulha,hilha,ulho
166,he/she is placing it on something,hvsk-nh[inf2],alha,tsilha,alha,ulha,hilha,ulho
166,he/she is placing it on something,hvsk-nh[inf4],alha,tsilha,alha,ulha,hilha,ulh
167,he/she is taking off flying,ih-vh,alhawit,katlawit,alhawit,ulhawit,halhawit,ulhawit
169,he/she is making him/her fly,cause[perf3],alhawitht,tsiyatlawitht,alhawitht,ulhawitht,hiyatlawitht,ulhawitht
169,he/she is making him/her fly,cause[pres2-perf3],alhawithtih,tsiyatlawithtih,alhawitht,ulhawitht,hiyatlawitht,ulhawitht
171,he/she is having a nightmare,rev-gi,alhi,katli,alhi,ulhi,halhi,ulhi
171,he/she is having a nightmare,rev-i,alhik,katlik,alhik,ulhik,halhik,ulhik
172,it’s taking time,be-at,alhi'il,,alhi'il,ulhi'il,,ulhi'il
172,it’s taking time,be-at-weak,alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilit
172,it’s taking time,oh-ol[inf2],alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilita
172,it’s taking time,oh-ol[inf3],alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilit
173,he/she is measuring it,glottal-sk,alhilo,katlilo,alhilo,ulhilo',halhilots,ulhilo
173,he/she is measuring it,o,alhil,katlil,alhil,ulhil,halhil,ulhil
175,it’s bending,vsk,alhiyvhkwit,,alhiyvhkwit,ulhiyvhkwit,,ulhiyvhkwit
176,he/she is snorting,cause,alhiyvhsanawhst,kaliyvhsanawhst,alhiyvhsanawhst,ulhiyvhsanawhst,halhiyvhsanawhst,ulhiyvhsanawhst
176,he/she is snorting,cause[perf3],alhiyvhsanawhst,kaliyvhsanawhst,alhiyvhsanawhst,ulhiyvhsanawhsth,halhiyvhsanawhst,ulhiyvhsanawhst
176,he/she is snorting,cause[pres2],alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhst,ulhiyvhsanawhst,halhiyvhsanawhst,ulhiyvhsanawhst
176,he/she is snorting,cause[pres2-perf3],alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhst,ulhiyvhsanawhsth,halhiyvhsanawhst,ulhiyvhsanawhst
177,he/she is preaching,hvsk-nh,alhtsato,kalitsato,alhtsato,ulhtsato,halhtsato,ulhtsat
