corpus_id,definition,form,surface_stem,underlying_stem
233,he/she is hitting him/her on the nose,present_1sg,yv23hste33lu22-hv2hsk,yvvhsteel'uuhvhsk
233,he/she is hitting him/her on the nose,imperfective,yhv23hste33lu22-hv2hsk,yhvvhsteel'uuhvhsk
233,he/she is hitting him/her on the nose,perfective,yhv23hste33lu22-nh,yhvvhsteel'uunh
233,he/she is hitting him/her on the nose,imperative,yv22hste22lu22-hv21ka2,yvvhsteeluuhvvka
233,he/she is hitting him/her on the nose,infinitive,yhv23hste33lu2-ht,yhvvhsteel'uht
234,he/she is choking him/her,present,yhv2hski23y-i33h,yhvhskiiyiih'
234,he/she is choking him/her,present_1sg,yv2hski23y-i33h,yvhskiiyiih'
234,he/she is choking him/her,imperfective,yhv2hski23y-i33hsk,yhvhskiiyiih'sk
234,he/she is choking him/her,perfective,yhv2hski23y-v33h,yhvhskiiyvvh'
234,he/she is choking him/her,imperative,yv2hski23y-a2,yvhskiiya
234,he/she is choking him/her,infinitive,yhv2hski23y-ht,yhvhskiiyht
253,he/she is lighting a fire,present,tsi33hsl-hv22hsk,tsii'hslhvvhsk
253,he/she is lighting a fire,present,tsi33hsl-hv22hsk,tsiih'slhvvhsk
253,he/she is lighting a fire,present_1sg,tsi33hsl-hv2hsk,tsii'hslhvhsk
253,he/she is lighting a fire,present_1sg,tsi33hsl-hv2hsk,tsiih'slhvhsk
253,he/she is lighting a fire,imperfective,tsi33hsl-hv2hsk,tsii'hslhvhsk
253,he/she is lighting a fire,imperfective,tsi33hsl-hv2hsk,tsiih'slhvhsk
253,he/she is lighting a fire,perfective,tsi33hsl-ha2n,tsii'hslhan
253,he/she is lighting a fire,perfective,tsi33hsl-ha2n,tsiih'slhan
253,he/she is lighting a fire,imperative,tsi21hsl-hv21ka2,tsiihslhvvka
253,he/she is lighting a fire,infinitive,tsi21hsl-hv3hst,tsiihslhvhst
255,he/she is turning on a light,present,tsv22hst-hv3hsk,tsvvhsthvhsk
255,he/she is turning on a light,present_1sg,tsv21hst-hv2hsk,tsvvhsthvhsk
255,he/she is turning on a light,imperfective,tsv22hst-hv3hsk,tsvvhsthvhsk
255,he/she is turning on a light,perfective,tsv22hst-ha3n,tsvvhsthan
255,he/she is turning on a light,imperative,tsv22hst-hv21ka2,tsvvhsthvvka
255,he/she is turning on a light,infinitive,tsv22hst-hv3hst,tsvvhsthvhst
259,he/she is chasing him/her,present,khe23h-e32k,kheehee'k
259,he/she is chasing him/her,present,khe23h-e32k,kheehe'k
259,he/she is chasing him/her,present_1sg,khe23h-e32k,kheehee'k
259,he/she is chasing him/her,present_1sg,khe23h-e32k,kheehe'k
259,he/she is chasing him/her,imperfective,khe23h-e32k,kheehee'k
259,he/she is chasing him/her,imperfective,khe23h-e32k,kheehe'k
259,he/she is chasing him/her,perfective,khe23h-v32hs,kheehvv'hs
259,he/she is chasing him/her,perfective,khe23h-v32hs,kheehv'hs
259,he/she is chasing him/her,imperative,khe22h-u21ka2,kheehuuka
259,he/she is chasing him/her,infinitive,khe23h-v32hst,kheehvv'hst
259,he/she is chasing him/her,infinitive,khe23h-v32hst,kheehv'hst
263,he/she is swallowing it,present,khi2-hsk,khihsk
263,he/she is swallowing it,present_1sg,'ki2-hsk,'kihsk
263,he/she is swallowing it,imperfective,khi2-hsk,khihsk
263,he/she is swallowing it,perfective,khi2-hs,khihs
263,he/she is swallowing it,imperative,khi2-hi2,khihi
263,he/she is swallowing it,infinitive,khi2-hi2hst,khihihst
266,he/she is shovelling it,present,kho23t-e3',khootee'
266,he/she is shovelling it,present,kho23t-e3',khoote'
266,he/she is shovelling it,present_1sg,kho23t-e3',khootee'
