corpus_id,definition,class,prediction
214,it’s becoming frosty (refers to the ground),vnh-vsk,FullEventful
214,it’s becoming frosty (refers to the ground),stative,FullStative
214,it’s becoming frosty (refers to the ground),hvsg-han,InfEventful
214,it’s becoming frosty (refers to the ground),hvsg-hn[inf2],InfEventful
214,it’s becoming frosty (refers to the ground),vhvsg,InfEventful
214,it’s becoming frosty (refers to the ground),eh-a,InfEventful
214,it’s becoming frosty (refers to the ground),ih-vh,InfEventful
214,it’s becoming frosty (refers to the ground),vnh-ih-a,InfEventful
215,he/she is calling him/her,ih-vh,FullEventful
216,he/she is taking it somewhere by hand,eg-vs,FullEventful
216,he/she is taking it somewhere by hand,eg-vs[pres2],FullEventful
217,he/she is holding it in his/her hand,stative-h,FullStative
217,he/she is holding it in his/her hand,stative-eh,FullStative
217,he/she is holding it in his/her hand,stative,FullStative
218,he/she is quilting it,hvsg-han,FullEventful
219,he/she is making an incision,oh-al,FullEventful
219,he/she is making an incision,oh-al[imp2],FullEventful
220,he/she is imitating him/her,i-a-i[perf2],FullEventful
220,he/she is imitating him/her,i-a-i,FullEventful
222,he/she is looking for him/her,oh-al,FullEventful
223,he/she is swimming (refers to propelling oneself through the water),eg-vs,FullEventful
223,he/she is swimming (refers to propelling oneself through the water),eg-vs[pres2],FullEventful
224,it’s thundering,o,FullEventful
224,it’s thundering,stative,FullStative
224,it’s thundering,g-ts,InfEventful
224,it’s thundering,sg-s-hst,InfEventful
224,it’s thundering,sg-h,InfEventful
224,it’s thundering,hih-lh,InfEventful
224,it’s thundering,o,InfEventful
224,it’s thundering,oh-al,InfEventful
228,he/she is bending it,vsk,FullEventful
228,he/she is bending it,vsk[imp2],FullEventful
230,he/she is kicking him/her,rev-e,FullEventful
232,he/she is capturing him/her,i-a-i,FullEventful
233,he/she is hitting him/her on the nose,hvsg-hn,FullEventful
233,he/she is hitting him/her on the nose,hvsg-hn[inf2],FullEventful
234,he/she is choking him/her,ih-vh,FullEventful
235,he/she is walking,stative,FullStative
238,it’s hatching,rev-i,FullEventful
238,it’s hatching,rev-'i,FullEventful
239,he/she is dressing up,vnh-vsk,FullEventful
239,he/she is dressing up,vnh-vsk[inf2],FullEventful
240,he/she is getting in (in a car‚ box‚ etc),vsk-post-v,FullEventful
242,he/she is acting like him/her,vnh-vsk,FullEventful
250,it’s blooming,vnh-vsk,FullEventful
250,it’s blooming,stative,FullStative
250,it’s blooming,hvsg-han,InfEventful
250,it’s blooming,hvsg-hn[inf2],InfEventful
250,it’s blooming,vhvsg,InfEventful
250,it’s blooming,eh-a,InfEventful
250,it’s blooming,ih-vh,InfEventful
250,it’s blooming,vnh-ih-a,InfEventful
253,he/she is lighting a fire,hvsg-han[inf2],FullEventful
254,he/she is blowing,sg-h,FullEventful
254,he/she is blowing,sg-h[imp2],FullEventful
255,he/she is turning on a light,hvsg-han[inf2],FullEventful
259,he/she is chasing him/her,eg-vs,FullEventful
259,he/she is chasing him/her,eg-vs[pres2],FullEventful
261,he/she is riding it (refers to anything that can be straddled),ih-ohd,FullEventful
261,he/she is riding it (refers to anything that can be straddled),ih-ohd[perf3],FullEventful
261,he/she is riding it (refers to anything that can be straddled),ih-ohd[pres2],FullEventful
261,he/she is riding it (refers to anything that can be straddled),ih-ohd[pres2-perf3],FullEventful
263,he/she is swallowing it,sg-s-hi-hihst,FullEventful
263,he/she is swallowing it,sg-s-hst[imp2],FullEventful
263,he/she is swallowing it,sg-s-hst,FullEventful
266,he/she is shovelling it,rev-e,FullEventful
270,he/she is going down-hill,sg-s-hi-hihst,FullEventful
270,he/she is going down-hill,sg-s-hst[imp2],FullEventful
270,he/she is going down-hill,sg-s-hst,FullEventful
273,he/she knows how,stative-h,FullStative
273,he/she knows how,stative,FullStative
276,he/she is turning back,v-vhs,FullEventful
277,he/she is winking,ih-ohd,FullEventful
277,he/she is winking,ih-ohd[perf3],FullEventful
277,he/she is winking,ih-ohd[pres2],FullEventful
277,he/she is winking,ih-ohd[pres2-perf3],FullEventful
278,he/she is hitting him/her on the eye,hvsg-hn,FullEventful
278,he/she is hitting him/her on the eye,hvsg-hn[inf2],FullEventful
280,he/she is looking around,oh-ol-a,FullEventful
280,he/she is looking around,oh-ol[inf2],FullEventful
280,he/she is looking around,oh-ol[inf3],FullEventful
281,he/she is peeking through,ih-ohd[perf2],FullEventful
281,he/she is peeking through,ih-ohd[pres2-perf2],FullEventful
286,he/she is becoming wise,sg-s-hi-hihst,FullEventful
286,he/she is becoming wise,sg-s-hst[imp2],FullEventful
286,he/she is becoming wise,sg-s-hst,FullEventful
288,he/she is looking at him/her,ih-ohd[pres2],FullEventful
288,he/she is looking at him/her,ih-ohd[pres2-perf3],FullEventful
290,he/she is going through it,sg-s-hi-hihst,FullEventful
290,he/she is going through it,sg-s-hst[imp2],FullEventful
290,he/she is going through it,sg-s-hst,FullEventful
291,he/she is dipping liquid,rev-gi,FullEventful
291,he/she is dipping liquid,rev-i,FullEventful
293,he/she is paying it,ih-vh,FullEventful
294,he/she is paying him/her,eh-el,FullEventful
294,he/she is paying him/her,eh-el[imp2],FullEventful
296,he/she is tromping on him/her,eh-ehl,FullEventful
