corpus_id,definition,verb_root,base_root_h,base_root_g,proposed_root_id,user_approved
345,he/she is smelling it,hsvhst|hsvhst,hsvhst,hsvhst,hsvhst|hsvhst,
356,it’s lightning,nakal|,nakal,,nakal|,
361,he/she is attempting it,anelht|anelht,anelht,anelht,anelht|anelht,
362,he is getting married,anelat|anelat,anelat,anelat,anelat|anelat,
363,he/she is remembering him/her,anhtat|anvtat,anhtat,anvtat,anhtat|anvtat,
373,he/she is setting a trap,hsat|hsat,hsat,hsat,hsat|hsat,
374,he/she is lifting him/her,hsalat|hsalat,hsalat,hsalat,hsalat|hsalat,
377,he/she is making it crisp,hstakayht|hstakayht,hstakayht,hstakayht,hstakayht|hstakayht,
378,it’s becoming crisp,hstakayv|,hstakayv,,hstakayv|,
380,he/she is drawing a line,hstanvn|hstanvn,hstanvn,hstanvn,hstanvn|hstanvn,
381,he/she is following him/her,hstawat|hstawat,hstawat,hstawat,hstawat|hstawat,
382,he/she is helping him/her,hstel|hstel,hstel,hstel,hstel|hstel,
383,he/she is braiding it,hstey|hstey,hstey,hstey,hstey|hstey,
384,he/she is eating it,hstik|hstik,hstik,hstik,hstik|hstik,
386,he/she is crushing it,hst|hst,hst,hst,hst|hst,
388,he/she is trimming it,hstoy|hstoy,hstoy,hstoy,hstoy|hstoy,
390,he/she is opening it,hstu|hstu,hstu,hstu,hstu|hstu,
392,he/she is sandwiching it,hstvhal|hstvhal,hstvhal,hstvhal,hstvhal|hstvhal,
397,he/she is including him/her,ahsehst|ahsehst,ahse,ahse,ahse|ahse,
398,he/she is withdrawing,ahsehs|ahsehs,ahsehs,ahsehs,ahsehs|ahsehs,
400,he/she is reprimanding him/her,hska|hska,hska,hska,hska|hska,
405,he/she is committing a crime,hskanv|hskanv,hskanv,hskanv,hskanv|hskanv,
411,he/she is gnawing it,hskok|hskok,hskok,hskok,hskok|hskok,
412,he/she is mourning for him/her,hskon|hskon,hskon,hskon,hskon|hskon,
413,he/she is rubbing him/her,ahskoliy|ahskoliy,ahskoliy,ahskoliy,ahskoliy|ahskoliy,
416,it’s fading,hskolv|,hskolv,,hskolv|,
417,he/she is digging it,ahsko|ahsko,ahsko,ahsko,ahsko|ahsko,
419,he/she is finishing it,hskwat|hskwat,hskwat,hskwat,hskwat|hskwat,
421,he/she is catching him/her,hskwalh|hskwalh,hskwalh,hskwalh,hskwalh|hskwalh,
423,it’s getting shorter,hskwalo|hskwalo,hskwalo,hskwalo,hskwalo|hskwalo,
424,he/she is breaking it,hskwal|hskwal,hskwal,hskwal,hskwal|hskwal,
425,he/she is hitting him/her on the head with it,hskwal|hskwal,hskwal,hskwal,hskwal|hskwal,
427,he/she is amazed,hskwaniko|hskwaniko,hskwaniko,hskwaniko,hskwaniko|hskwaniko,
429,he/she is hitting him/her on the abdomen with it,hskwohal|hskwohal,hskwohal,hskwohal,hskwohal|hskwohal,
430,he/she is placing his/her hand on him/her,ahsihthat|ahsihthat,ahsihthat,ahsihthat,ahsihthat|ahsihthat,
431,he/she is slapping him/her,ahsihth|ahsihth,ahsihth,ahsihth,ahsihth|ahsihth,
432,he/she is backing up,ahsin|ahsin,ahsin,ahsin,ahsin|ahsin,
436,he/she is roping him/her,hslhat|hslhat,hslhat,hslhat,hslhat|hslhat,
437,he/she is building a fence,ahsoy|ahsoy,ahsoy,ahsoy,ahsoy|ahsoy,
439,he/she is waving his/her hand,ahsolvta|ahsolvta,ahsolvta,ahsolvta,ahsolvta|ahsolvta,
440,he/she is pressing down on him/her,ahsonhst|ahsonhst,ahsonhst,ahsonhst,ahsonhst|ahsonhst,
441,he/she is wounding him/her,hson|hson,hson,hson,hson|hson,
444,he/she is fishing,ahsu|ahsu,ahsu,ahsu,ahsu|ahsu,
445,he/she is painting it,hsuwh|hsuwh,hsuwh,hsuwh,hsuwh|hsuwh,
446,he/she is changing his/her pants,ahsul|ahsul,ahsul,ahsul,ahsul|ahsul,
447,he/she is taking his/her pants off,ahsul|ahsul,ahsul,ahsul,ahsul|ahsul,
448,he/she is putting his/her pants on,ahsul|ahsul,ahsul,ahsul,ahsul|ahsul,
449,he/she is quitting,hsuli|hsuli,hsuli,hsuli,hsuli|hsuli,
452,he/she is choosing him/her,ahsuy|ahsuy,ahsuy,ahsuy,ahsuy|ahsuy,
453,he/she is stirring it,ahsuy|ahsuy,ahsuy,ahsuy,ahsuy|ahsuy,
454,he/she is mixing it in,ahsuy|ahsuy,ahsuy,ahsuy,ahsuy|ahsuy,
455,it smells,hsv|hsv,hsv,hsv,hsv|hsv,
458,he/she is touching him/her,ahs|ahs,ahs,ahs,ahs|ahs,
459,he/she is drinking it up,hsv|hsv,hsv,hsv,hsv|hsv,
463,he/she is holding his/her breath,athawhohst|a'tawhohst,athawhohst,a'tawhohst,athawhohst|a'tawhohst,
464,he/she is mooring a boat,thalat|thalat,thalat,thalat,thalat|thalat,
467,it’s steaming,hanol|,hanol,,hanol|,
469,it’s exploding,hahs|,hahs,,hahs|,
472,he/she is kissing him/her,thaweto|taweto,thaweto,taweto,thaweto|taweto,
474,he/she is asking for it,thayo|thayo,thayo,thayo,thayo|thayo,
477,he/she is shaking him/her,thel|thel,thel,thel,thel|thel,
479,he/she is leading him/her,hinh|hinh,hinh,hinh,hinh|hinh,
480,he/she is arguing,athiyo|a'tiyo,athiyo,a'tiyo,athiyo|a'tiyo,
483,he/she is racing,hohk|hohk,hohk,hohk,hohk|hohk,
486,he/she is loaning it to him/her,holhst|holhst,holhst,holhst,holhst|holhst,
487,he/she is borrowing him/her,hol|hol,hol,hol,hol|hol,
488,it’s flashing,hoyaw|,hoyaw,,hoyaw|,
489,he/she is taking a bite,st|sihst,st,sihst,st|sihst,
490,he/she is lying,sko|sihsko,sko,sihsko,sko|sihsko,
491,he/she is taking a drink,athu|a'tu,athu,a'tu,athu|a'tu,
493,he/she is promising,thu'ihst|thu'ihst,thu'ihst,thu'ihst,thu'ihst|thu'ihst,
494,he/she is listening to him/her,hvtahst|hvtahst,hvtahst,hvtahst,hvtahst|hvtahst,
495,he/she is asking him/her a question,hvt|hvt,hvt,hvt,hvt|hvt,
496,he/she hears him/her,hvk|hvk,hvk,hvk,hvk|hvk,
497,he/she is raising him/her,athvhihst|a'tvhihst,athv,a'tv,athv|a'tv,
498,he/she is growing,athv|a'tv,athv,a'tv,athv|a'tv,
502,he/she is inside,y|y,y,y,y|y,
507,he/she is waking up,ye|ye,ye,ye,ye|ye,
509,he/she is waking him/her up,ye'ihst|ye'ihst,ye,ye,ye|ye,
511,he/she is putting him/her inside,yht|yvt,y,y,y|y,
513,he/she is getting it,y|y,y,y,y|y,
515,it’s breaking,yo|yo,yo,yo,yo|yo,
516,he/she is shooting him/her,yo|yo,yo,yo,yo|yo,
519,he/she is whittling it,yol|yol,yol,yol,yol|yol,
523,he/she is greeting him/her,yol|yol,yol,yol,yol|yol,
524,he/she is breaking it,yohst|yohst,yo,yo,yo|yo,
526,he/she is destroying it,yohsthan|yohsthan,yo,yo,yo|yo,
529,he/she is entering it,yv|yv,yv,yv,yv|yv,
530,he/she is finding it,yvwhahth|yvwahth,yvwhahth,yvwahth,yvwhahth|yvwahth,
531,he/she is taking it somewhere,yvwhit|yvwit,yvwhit,yvwit,yvwhit|yvwit,
539,he/she is making an X,nhawhst|nawhst,nhawhst,nawhst,nhawhst|nawhst,
541,he/she is conjuring,nhehs|nehs,nhehs,nehs,nhehs|nehs,
542,he/she is accepting him/her,nilv|nilv,nilv,nilv,nilv|nilv,
543,he/she is dodging,nvtihst|nvtihst,nvt,nvt,nvt|nvt,
544,he/she is performing baptism,w|w,w,w,w|w,
545,he/she is giving up,yo|yo,yo,yo,yo|yo,
547,he/she is weeping,loy|loy,loy,loy,loy|loy,
550,he/she is setting a price,kvwalht|kvwalot,kvwalht,kvwalot,kvwalht|kvwalot,
552,he/she is rocking,hihk|hk,hihk,hk,hihk|hk,
553,he/she is drawing a picture of him/her,alhilohst|atlilohst,alhil,atlil,alhil|atlil,
554,he/she is conversing,hino|no,hino,no,hino|no,
555,he/she is jumping,hthat|that,hthat,that,hthat|that,
557,he/she is changing clothes,anhaw|aniw,anhaw,aniw,anhaw|aniw,
558,he/she is undressing,anhaw|aniw,anhaw,aniw,anhaw|aniw,
559,he/she is putting on clothes,anhaw|aniw,anhaw,aniw,anhaw|aniw,
561,he/she is putting fuel into a fire,hvt|'vt,hvt,'vt,hvt|'vt,
562,he/she is tickling him/her,yhvk|yvk,yhvk,yvk,yhvk|yvk,
565,he/she is tying it,khane|kane,khane,kane,khane|kane,
566,he/she is untying it,khaneyh|kaneyh,khaneyh,kaneyh,khaneyh|kaneyh,
567,he/she is looking after him/her,khanowat|kanowat,khanowat,kanowat,khanowat|kanowat,
568,he/she is becoming blind,khewa|'kewa,khewa,'kewa,khewa|'kewa,
571,he/she is making smoke,khsvhst|kahsvhst,khsvhst,kahsvhst,khsvhst|kahsvhst,
573,he/she is closing his eyes,akhthahst|akathahst,akhthahst,akathahst,akhthahst|akathahst,
574,he/she is attacking him/her,khthil|kathil,khthil,kathil,khthil|kathil,
575,he/she is taking off his/her glasses,akhthinvt|akathinvt,akhthinvt,akathinvt,akhthinvt|akathinvt,
576,he/she is putting on glasses,akhthinvt|akathinvt,akhthinvt,akathinvt,akhthinvt|akathinvt,
577,he/she is shelling corn,khtlh|katlh,khtlh,katlh,khtlh|katlh,
578,he/she is snoring,kwhala|kwhala,kwhala,kwhala,kwhala|kwhala,
