root_id,h_grade,g_grade,class,stem_type,corpus_ids
''n|,''n,,stative,glottal,367
ne|ne,ne,ne,hvsg-hn,con,1642;1775
ne|ne,ne,ne,rev-gi,con,884
nhahskwal|,nhahskwal,,o,con,1548
nhalu|nalu,nhalu,nalu,sg-s-hi-hihst,con,1221
nhalvhst|nalvhst,nhalvhst,nalvhst,ih-ohd,con,1224
nhalv|,nhalv,,g-ts[inf2],con,1544
nhalv|,nhalv,,stative-s,con,1545
nhawahst|,nhawahst,,ih-ohd,con,1551
nhawo|nawo,nhawo,nawo,g-ts,con,1229
nhe'ihst|ne'ihst,nhe'ihst,ne'ihst,ih-ohd,con,1234
nhehkwo|,nhehkwo,,g-ts[inf2],con,1233
nhehkw|nehkw,nhehkw,nehkw,o,con,1232
nhehsal|nehsal,nhehsal,nehsal,hvsg-han,con,1236
nhehsal|nehsal,nhehsal,nehsal,stative-h,con,1235
nhehs|nehs,nhehs,nehs,e-aka,vowel_a,541
nhekwat|nekwat,nhekwat,nekwat,ih-vh,con,1231
nhe|ne,nhe,ne,g-ts,con,1230
nhil|nil,nhil,nil,hvsg-han,con,1241
nhkwa'|nhkwa',nhkwa',nhkwa',eh-eh,con,901
nhoh|noh,nhoh,noh,a,con,1247
nhoy|noy,nhoy,noy,eh-eh,con,1249
nhoy|noy,nhoy,noy,eh-eh,vowel_a,16
nho|no,nho,no,eh-hehl,con,1246
nho|no,nho,no,eh-hehl,vowel_a,554
nho|no,nho,no,rev-gi,con,631
nhsan|nahsan,nhsan,nahsan,rev-e,con,929
nhsin|nahsin,nhsin,nahsin,eg-vs[pres2],vowel_a,43
nhs|nahs,nhs,nahs,eg-vs,con,931
nhts|nvts,nhts,nvts,eg-vs,con,902
nhts|nvts,nhts,nvts,oh-ol-a,con,904
nhts|nvts,nhts,nvts,stative-eh,con,903
nhuko|nuko,nhuko,nuko,sg-s-la,con,632
nhvhsolvhst|nvhsolvhst,nhvhsolvhst,nvhsolvhst,ih-ohd,con,1254
nhvw|nvw,nhvw,nvw,i-vka,con,1256
nh|'n,nh,'n,eg-vs,con,813
nh|'n,nh,'n,oh-ol-a,con,815
nh|nv,nh,nv,stative-k,con,899
nikwat|nikwat,nikwat,nikwat,hih-hilh,con,909
nilat|nilat,nilat,nilat,i-a-i,con,913
nilh|nilh,nilh,nilh,i-a-i,con,910
nohal|no'al,nohal,no'al,oh-ol-a,con,918
nohs|nohs,nohs,nohs,rev-gi,con,925
nohuk|,nohuk,,i-vka,con,921
nol|,nol,,vsk-long,con,924
notsal|notsal,notsal,notsal,hvsg-han,con,622
noyv|noyv,noyv,noyv,g-ts[inf2],con,928
nuthey|nuthey,nuthey,nuthey,oh-ol,vowel_a,44
nuthey|nuthey,nuthey,nuthey,oh-ol[inf3],con,937
nu|nu,nu,nu,go-gots,con,932
nvkal|nvkal,nvkal,nvkal,ih-vh,con,941
nvkwal|nvkwal,nvkwal,nvkwal,o,con,942
nvlho|nvlho,nvlho,nvlho,hih-lh,con,946
nvn|nvn,nvn,nvn,eh-el,con,950
nvtihst|nvtihst,nvtihst,nvtihst,ih-ohd,vowel_a,543
nvts|nvts,nvts,nvts,oh-ol-a,con,949
nv|nv,nv,nv,g-ts[inf2],con,940
nv|nv,nv,nv,i-a-i,con,938
n|n,n,n,rev-e,con,879
n|n,n,n,stative-a',con,1629
n|n,n,n,vsk-long[imp2],con,1776
o'|,o',,stative,vowel_a,723
ohiyhtan|o'iyhtan,ohiyhtan,o'iyhtan,eh-el,vowel_o,1015
ohiyu|,ohiyu,,stative-s,vowel_o,1729
ohonht|o'onht,ohonht,o'onht,ih-ohd,vowel_o,1023
oho|o'o,oho,o'o,sg-s-hi-hihst,vowel_o,1024
ohst|ohst,ohst,ohst,ih-il,vowel_o,1038
ohs|ohs,ohs,ohs,eh-el[imp2],vowel_o,1040
ohs|ohs,ohs,ohs,ih-ohd[perf2],vowel_o,625
oh|o',oh,o',eg-vs,vowel_o,1014
olhv|olv,olhv,olv,sg-s-hi-hihst,vowel_o,1021
olh|olh,olh,olh,vnh-vsk[inf3],vowel_o,1022
ol|oli,ol,oli,hg-hts,vowel_o,1017;1018
ol|oli,ol,oli,stative-h,vowel_o,1730
othi|othi,othi,othi,sg-s-hi-hihst,vowel_o,1041
otsan|otsan,otsan,otsan,rev-e,vowel_o,1030
ot|ot,ot,ot,hvsg-han,vowel_o,1043
owhel|owel,owhel,owel,i-vka,vowel_o,1027
say,at,at,vnh-ih-a,vowel_a,77
thalhawo|,thalhawo,,sg-s-hi-hihst,aspirated,1684
thal|thal,thal,thal,i-a-i,aspirated,464
thanol|,thanol,,eg-vs,con,467
thatek|,thatek,,i-vka,aspirated,1683
thaweto|taweto,thaweto,taweto,vsk-post-v,aspirated,472
