corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_root,metathesis_involved,set_a_b,stem_type,metathesis_strategy,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
34,he/she is taking turns with him/her,cause[pres2-perf3],atanetliyvhstih,atanetliyvhstih,atanetliyvhst,atanetliyvhsth,atanetliyvhst,atanetliyvhst,atanetliyvhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
39,he/she is thinking,apl-active-lh,atanhth,atanvth,atanhth,atanhth,atanhth,atanhth,atanhth,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
41,he/she is pondering,o,atanhthehil,atanvthehil,atanhthehil,atanhthehil,atanhthehil,atanhthehil,atanhthehil,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
43,he/she is crawling,go[pres2],atanhsin,atanahsin,atanhsin,atanhsin,atanhsin,atanhsin,atanhsin,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
44,it’s twisting,oh-ol,atanuthey,atanuthey,atanuthey,atanuthey,atanuthey,atanuthey,atanuthey,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
46,he/she is ordering it,sk-s-la,atanv,atanv,atanv,atanv,atanv,atanv,atanv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
46,he/she is ordering it,sk-s-hst,atanv,atanv,atanv,atanv,atanvla,atanv,atanv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
48,he/she is cooking a meal,hvsk-nh[inf2],atahstayv,atahstayv,atahstayv,atahstayv,atahstayv,atahstay,atahstayv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
48,he/she is cooking a meal,episodic,atahstay,atahstay,atahstay,atahstay,atahstay,atahstay,atahstay,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
51,it’s burning,i-a-i,atawelak,atawelak,atawelak,atawelak,atawelak,atawelak,atawelak,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
54,he/she is resting,cause,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
54,he/she is resting,cause[perf3],atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhsth,atawehsolvhst,atawehsolvhst,atawehsolvhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
54,he/she is resting,cause[pres2],atawehsolvhstih,atawehsolvhstih,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhst,atawehsolvhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
54,he/she is resting,cause[pres2-perf3],atawehsolvhstih,atawehsolvhstih,atawehsolvhst,atawehsolvhsth,atawehsolvhst,atawehsolvhst,atawehsolvhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
56,he/she is bathing,o,ataw,ataw,ataw,ataw,ataw,ataw,ataw,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
59,he/she is giving him/her it,apl,t,t,t,t,ti,t,t,False,a,con,none,False,False,False,False,False,False,False,False,False,False
59,he/she is giving him/her it,apl,t,t,t,t,ti,t,t,False,a,con,none,False,False,False,False,True,False,False,False,False,False
59,he/she is giving him/her it,apl[imp2],t,t,t,t,ti,t,t,False,a,con,none,False,False,False,False,False,False,False,False,False,False
59,he/she is giving him/her it,apl[imp2],t,t,t,t,ti,t,t,False,a,con,none,False,False,False,False,True,False,False,False,False,False
59,he/she is giving him/her it,apl[imp3],t,t,t,t,t,t,t,False,a,con,none,False,False,False,False,False,False,False,False,False,False
59,he/she is giving him/her it,apl[imp3],t,t,t,t,t,t,t,False,a,con,none,False,False,False,False,True,False,False,False,False,False
61,he/she is embarrassing him/her,cause,atehohihst,ate'ohihst,atehohihst,atehohihst,ate'ohihst,atehohihst,atehohihst,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
61,he/she is embarrassing him/her,cause[perf3],atehohihst,ate'ohihst,atehohihst,atehohihsth,ate'ohihst,atehohihst,atehohihst,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
61,he/she is embarrassing him/her,cause[pres2],atehohihstih,ate'ohihstih,atehohihst,atehohihst,ate'ohihst,atehohihst,atehohihstih,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
61,he/she is embarrassing him/her,cause[pres2-perf3],atehohihstih,ate'ohihstih,atehohihst,atehohihsth,ate'ohihst,atehohihst,atehohihstih,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
62,he/she is embarrassed,sk-s-hi-hihst,ateho,ate'o,ateho,ateho,ateho,ateho,ateho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
62,he/she is embarrassed,sk-s-hst[imp2],ateho,ate'o,ateho,ateho,ateho,atehohi,ateho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
62,he/she is embarrassed,sk-s-hst,ateho,ate'o,ateho,ateho,atehohi,atehohi,ateho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
63,he/she is being born,hvsk-nh,ate,ate,ate,ate,ate,ate,ate,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
63,he/she is being born,hvsk-nh[inf2],ate,ate,ate,ate,ate,ate,ate,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
67,he/she is finding it out,sk-s-hi-hihst,ateloho,atelo'o,ateloho,ateloho,ateloho,ateloho,ateloho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
67,he/she is finding it out,sk-s-hst[imp2],ateloho,atelo'o,ateloho,ateloho,ateloho,atelohohi,ateloho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
67,he/she is finding it out,sk-s-hst,ateloho,atelo'o,ateloho,ateloho,atelohohi,atelohohi,ateloho,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
70,he/she is going around a curve,oh-ol[inf2],atey,atey,atey,atey,atey,atey,atey,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
72,he/she is laying it down,i-a-i,t,t,t,t,t,t,t,False,a,con,none,False,False,False,False,False,False,False,False,False,False
72,he/she is laying it down,i-a-i,t,t,t,t,t,t,t,False,a,con,none,False,False,False,False,True,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,con,none,False,False,False,False,False,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,aspirated,none,False,False,False,False,False,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,s_stem,none,False,False,False,False,False,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,con,none,False,False,False,False,True,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,aspirated,none,False,False,False,False,True,False,False,False,False,False
72,he/she is laying it down,long-no-a,,,,,,,,False,a,s_stem,none,False,False,False,False,True,False,False,False,False,False
73,he/she is rising,ih-vh,atit,atit,atit,atit,atit,atit,atit,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
75,it’s scattering,become,tikaleyo,,tikaleyo,tikaleyo,,tikaleyoy,tikaleyo,False,a,con,none,False,False,False,False,False,False,False,False,False,False
75,it’s scattering,become,atikaleyo,,atikaleyo,atikaleyo,,atikaleyoy,atikaleyo,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
75,it’s scattering,become,tikaleyo,,tikaleyo,tikaleyo,,tikaleyoy,tikaleyo,False,a,con,none,False,False,False,False,False,False,True,False,False,False
75,it’s scattering,become,atikaleyo,,atikaleyo,atikaleyo,,atikaleyoy,atikaleyo,False,a,vowel_a,none,False,False,False,False,False,False,True,False,False,False
75,it’s scattering,become,tikaleyo,,tikaleyo,tikaleyo,,tikaleyoy,tikaleyo,False,a,con,none,False,False,False,False,True,False,False,False,False,False
75,it’s scattering,become,atikaleyo,,atikaleyo,atikaleyo,,atikaleyoy,atikaleyo,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
75,it’s scattering,become,tikaleyo,,tikaleyo,tikaleyo,,tikaleyoy,tikaleyo,False,a,con,none,False,False,False,False,True,False,True,False,False,False
75,it’s scattering,become,atikaleyo,,atikaleyo,atikaleyo,,atikaleyoy,atikaleyo,False,a,vowel_a,none,False,False,False,False,True,False,True,False,False,False
75,it’s scattering,become[inf3],tikaleyo,,tikaleyo,tikaleyo,,tikaleyo,tikaleyo,False,a,con,none,False,False,False,False,False,False,False,False,False,False
75,it’s scattering,become[inf3],atikaleyo,,atikaleyo,atikaleyo,,atikaleyo,atikaleyo,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
75,it’s scattering,become[inf3],tikaleyo,,tikaleyo,tikaleyo,,tikaleyo,tikaleyo,False,a,con,none,False,False,False,False,False,False,True,False,False,False
75,it’s scattering,become[inf3],atikaleyo,,atikaleyo,atikaleyo,,atikaleyo,atikaleyo,False,a,vowel_a,none,False,False,False,False,False,False,True,False,False,False
75,it’s scattering,become[inf3],tikaleyo,,tikaleyo,tikaleyo,,tikaleyo,tikaleyo,False,a,con,none,False,False,False,False,True,False,False,False,False,False
75,it’s scattering,become[inf3],atikaleyo,,atikaleyo,atikaleyo,,atikaleyo,atikaleyo,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
75,it’s scattering,become[inf3],tikaleyo,,tikaleyo,tikaleyo,,tikaleyo,tikaleyo,False,a,con,none,False,False,False,False,True,False,True,False,False,False
75,it’s scattering,become[inf3],atikaleyo,,atikaleyo,atikaleyo,,atikaleyo,atikaleyo,False,a,vowel_a,none,False,False,False,False,True,False,True,False,False,False
76,he/she is spinning,oh-ol[inf2],atikwalvtey,atikwalvtey,atikwalvtey,atikwalvtey,atikwalvtey,atikwalvtey,atikwalvtey,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
77,he/she is saying it,vnh-ih-a,at,at,at,at,at,at,at,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
78,he/she is running over him/her,cause,atinvt,atinvt,atinvt,atinvt,atinvt,atinvt,atinvt,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
78,he/she is running over him/her,cause[perf3],atinvt,atinvt,atinvt,atinvth,atinvt,atinvt,atinvt,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
78,he/she is running over him/her,cause[pres2],atinvtih,atinvtih,atinvt,atinvt,atinvt,atinvt,atinvtih,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
78,he/she is running over him/her,cause[pres2-perf3],atinvtih,atinvtih,atinvt,atinvth,atinvt,atinvt,atinvtih,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
79,he/she is hiding,hvsk-han,atihskal,atihskal,atihskal,atihskal,atihskal,atihskal,atihskal,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
80,he/she is leaving it behind,leaving,tihs,tihs,tihs,tihs,tihs,tihs,tihs,False,a,con,none,False,False,False,False,False,False,False,False,False,False
80,he/she is leaving it behind,leaving,tihs,tihs,tihs,tihs,tihs,tihs,tihs,False,a,con,none,False,False,False,False,True,False,False,False,False,False
82,he/she is drinking it,sk-h,atitha,atitha,atitha,atitha,atit,atitha,atitha,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
82,he/she is drinking it,sk-h[imp2],atitha,atitha,atitha,atitha,atitha,atitha,atitha,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
85,he/she is scratching,sk-s-la,atlako,atlako,atlako,atlako,atlako,atlako,atlako,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
85,he/she is scratching,sk-s-hst,atlako,atlako,atlako,atlako,atlakola,atlako,atlako,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
87,he/she is turning off the road,rev-e,atl,atl,atl,atl,atl,atl,atl,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
88,he/she is taking revenge against him/her,apl,atletsh,atletsh,atletsh,atletsh,atletshi,atletsh,atletsh,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
88,he/she is taking revenge against him/her,apl[imp2],atletsh,atletsh,atletsh,atletsh,atletshi,atletsh,atletsh,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
88,he/she is taking revenge against him/her,apl[imp3],atletsh,atletsh,atletsh,atletsh,atletsh,atletsh,atletsh,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
92,he/she is pouring liquid into a container,i-a-i,tl,tl,tl,tl,tlik,tl,tl,False,a,con,none,False,False,False,False,False,False,False,False,False,False
92,he/she is pouring liquid into a container,i-a-i,tl,tl,tl,tl,tlik,tl,tl,False,a,con,none,False,False,False,False,True,False,False,False,False,False
94,it’s pouring into a container,become,tli,,tli,tli,,tliy,tli,False,a,con,none,False,False,False,False,False,False,False,False,False,False
94,it’s pouring into a container,become,atli,,atli,atli,,atliy,atli,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
94,it’s pouring into a container,become,tli,,tli,tli,,tliy,tli,False,a,con,none,False,False,False,False,False,False,True,False,False,False
