corpus_id,form_name,surface,segmented
74,present_1sg,katikaleya'a,k-atikaley-a'-a
75,imperfective,atikaleyoko'i,a->atikaleyo-k-o'i
75,infinitive,utikaleyoyhsti,u->atikaleyo-yhst-i
75,perfective,utikaleyotsv'i,u->atikaleyo-ts-v'i
75,present,atikaleyoka,a->atikaleyo-k-a
76,imperative,hatikwalvteyaka,h-ati-kwalv-tey-aka
76,imperfective,atikwalvteyoho'i,a->ati-kwalv-tey-oh-o'i
76,infinitive,utikwalvteyhsti,u->ati-kwalv-tey-hst-i
76,perfective,utikwalvteyolv'i,u->ati-kwalv-tey-ol-v'i
76,present,atikwalvteyoha,a->ati-kwalv-tey-oh-a
76,present_1sg,katikwalvteyoha,k-ati-kwalv-tey-oh-a
77,imperative,hata,h-at-a
77,imperfective,atihsko'i,a->at-ihsk-o'i
77,infinitive,uthti,u->at-ht-i
77,perfective,utvnhv'i,u->at-vnh-v'i
77,present,atiha,a->at-ih-a
77,present_1sg,kati'a,k-at-i'-a
78,imperative,hiyatinvta,hiy-atinvt-a
78,imperfective,atinvtihsko'i,a->atinvt-ihsk-o'i
78,infinitive,utinvtohti,u->atinvt-oht-i
78,perfective,utinvthanv'i,u->atinvt-han-v'i
78,present,atinvtiha,a->atinvt-ih-a
78,present_1sg,tsiyatinvtiha,tsiy-atinvt-ih-a
79,imperative,hatihskalhvka,h-ati->vhskal-hvka
79,imperfective,atihskalhvhsko'i,a->ati->vhskal-hvhsk-o'i
79,infinitive,utihskalhti,u->ati->vhskal-ht-i
79,perfective,utihskalhanv'i,u->ati->vhskal-han-v'i
79,present,atihskalhvhska,a->ati->vhskal-hvhsk-a
79,present_1sg,katihskalhvhska,k-ati->vhskal-hvhsk-a
80,imperative,hitihsiya,hi-tihs-iy-a
80,imperfective,atihsiyahsko'i,a-tihs-iy-ahsk-o'i
80,infinitive,utihsiyahsti,u-tihs-iy-ahst-i
80,perfective,utihsiyv'i,u-tihs-iy-v'i
80,present,atihsiya'a,a-tihs-iy-a'-a
80,present_1sg,tsitihsiya'a,tsi-tihs-iy-a'-a
82,imperative,hatitha,h-atitha-
82,imperfective,atithahsko'i,a->atitha-hsk-o'i
82,infinitive,utithahsti,u->atitha-hst-i
82,perfective,utithahv'i,u->atitha-h-v'i
82,present,atithahska,a->atitha-hsk-a
82,present_1sg,katithahska,k-atitha-hsk-a
85,imperative,hatlakola,h-at-lako-la
85,imperfective,atlakohsko'i,a->at-lako-hsk-o'i
85,infinitive,utlakohsti,u->at-lako-hst-i
85,perfective,utlakohsv'i,u->at-lako-hs-v'i
85,present,atlakohska,a->at-lako-hsk-a
85,present_1sg,katlakohska,k-at-lako-hsk-a
87,imperative,hatlaki,h-atl-aki
87,imperfective,atlehsko'i,a->atl-ehsk-o'i
87,infinitive,utlehsti,u->atl-ehst-i
87,perfective,utlehsv'i,u->atl-ehs-v'i
87,present,atle'a,a->atl-e'-a
87,present_1sg,katle'a,k-atl-e'-a
88,imperative,hiyatletshihsi,hiy-atletsh-ihsi
88,imperfective,atletsheho'i,a->atletsh-eh-o'i
88,infinitive,utletshehti,u->atletsh-eht-i
88,perfective,utletshelv'i,u->atletsh-el-v'i
88,present,atletsheha,a->atletsh-eh-a
88,present_1sg,tsiyatletsheha,tsiy-atletsh-eh-a
94,imperfective,atliko'i,a-tli-k-o'i
94,infinitive,utliyhsti,u-tli-yhst-i
94,perfective,utlitsv'i,u-tli-ts-v'i
94,present,atlika,a-tli-k-a
95,imperative,hitla,hi-tl-a
95,imperfective,atlihsko'i,a-tl-ihsk-o'i
95,infinitive,utlvhti,u-tl-vht-i
95,perfective,utlvhv'i,u-tl-vh-v'i
95,present,atliha,a-tl-ih-a
95,present_1sg,tsitli'a,tsi-tl-i'-a
96,imperative,hitlihsta,hi-tlihst-a
96,imperfective,atlihstihsko'i,a-tlihst-ihsk-o'i
96,infinitive,utlihstohti,u-tlihst-oht-i
96,perfective,utlihsthanv'i,u-tlihst-han-v'i
96,present,atlihstiha,a-tlihst-ih-a
96,present_1sg,tsitlihstiha,tsi-tlihst-ih-a
98,imperative,hatloyhka,h-atloy-hka
98,imperfective,atloyhiho'i,a->atloy-hih-o'i
98,infinitive,utloyhsti,u->atloy-hst-i
98,perfective,utloyhilv'i,u->atloy-hil-v'i
98,present,atloyhiha,a->atloy-hih-a
98,present_1sg,katloyiha,k-atloy-ih-a
101,imperative,hiyatlvtha,hiy-atlvtha-
101,imperfective,atlvthahsko'i,a->atlvtha-hsk-o'i
101,infinitive,utlvthahsti,u->atlvtha-hst-i
101,perfective,utlvthahv'i,u->atlvtha-h-v'i
101,present,atlvthahska,a->atlvtha-hsk-a
101,present_1sg,tsiyatlvthahska,tsiy-atlvtha-hsk-a
107,imperative,hatvnela,h-at-vnel-a
107,imperfective,atvnelihsko'i,a->at-vnel-ihsk-o'i
107,infinitive,utvnelhti,u->at-vnel-ht-i
107,perfective,utvnelvnhv'i,u->at-vnel-vnh-v'i
107,present,atvneliha,a->at-vnel-ih-a
107,present_1sg,katvneliha,k-at-vnel-ih-a
109,imperative,hatvnv'ihsta,h-atvnv'ihst-a
109,imperfective,atvnv'ihstihsko'i,a->atvnv'ihst-ihsk-o'i
109,infinitive,utvnv'ihstohti,u->atvnv'ihst-oht-i
109,perfective,utvnv'ihsthanv'i,u->atvnv'ihst-han-v'i
109,present,atvnv'ihstiha,a->atvnv'ihst-ih-a
109,present_1sg,katvnv'ihstiha,k-atvnv'ihst-ih-a
112,imperfective,akalihsko'i,a->akal-ihsk-o'i
112,infinitive,ukalihihsti,u->akal-ihihst-i
112,perfective,ukalihsv'i,u->akal-ihs-v'i
112,present,akaliha,a->akal-ih-a
115,imperative,hikanata,hi-kana-t-a
115,imperfective,akanatihsko'i,a-kana-t-ihsk-o'i
115,infinitive,ukanatihsti,u-kana-t-ihst-i
115,perfective,ukanatv'i,u-kana-t-v'i
115,present,akanati'a,a-kana-t-i'-a
115,present_1sg,tsikanati'a,tsi-kana-t-i'-a
117,imperative,hikanawhta,hi-kanawht-a
117,imperfective,akanawhtihsko'i,a-kanawht-ihsk-o'i
117,infinitive,ukanawhtohti,u-kanawht-oht-i
117,perfective,ukanawhthanv'i,u-kanawht-han-v'i
117,present,akanawhtiha,a-kanawht-ih-a
117,present_1sg,tsikanawotiha,tsi-kanawot-ih-a
118,imperfective,akanawohsko'i,a-kanawo-hsk-o'i
118,infinitive,ukanawohihsti,u-kanawo-hihst-i
118,perfective,ukanawohsv'i,u-kanawo-hs-v'i
118,present,akanawohska,a-kanawo-hsk-a
127,imperative,hika,hi-k-a
127,imperfective,akihsko'i,a-k-ihsk-o'i
127,infinitive,ukihsti,u-k-ihst-i
127,perfective,ukv'i,u-k-v'i
127,present,aki'a,a-k-i'-a
127,present_1sg,tsiki'a,tsi-k-i'-a
128,imperative,hiki,hi--ki
128,imperfective,akihsko'i,a--kihsk-o'i
128,infinitive,ukihsti,u--kihst-i
128,perfective,ukihsv'i,u--kihs-v'i
128,present,aki'a,a--ki'-a
128,present_1sg,tsiki'a,tsi--ki'-a
130,imperative,hikilhiyoki,hi-kilhiyo-ki
130,imperfective,akilhiyoko'i,a-kilhiyo-k-o'i
130,infinitive,ukilhiyohsti,u-kilhiyo-hst-i
130,perfective,ukilhiyotsv'i,u-kilhiyo-ts-v'i
130,present,akilhiyoka,a-kilhiyo-k-a
130,present_1sg,tsikiliyoka,tsi-kiliyo-k-a
133,imperative,hikihstotsa,hi-kihst-otsa
133,imperfective,akihstohsko'i,a-kihst-ohsk-o'i
133,infinitive,ukihstohsti,u-kihst-ohst-i
133,perfective,ukihsto'v'i,u-kihst-o'-v'i
