corpus_id,original_word,stem,structure,aspect,person,number,pronominal_set
30,ateltiyhti'i,ateltiyhti'i,nominal,,,,
30,ateltiyhti'i,teltiyhti'i,nominal,,3rd,singular,a
30,ateltiyhti'i,:teltiyhti'i,nominal,,3rd,singular,a
30,ateltiyhti'i,ateltiyhti'i,nominal,,3rd,singular,a
31,Ateltsulhv'i,Ateltsulhv',nominal,imperfective,,,
31,Ateltsulhv'i,Ateltsulh,verby,perfective,,,
31,Ateltsulhv'i,Ateltsulh,verby,imperfective,,,
31,Ateltsulhv'i,Ateltsulhv'i,nominal,,,,
32,atelv'i,atelv',nominal,imperfective,,,
32,atelv'i,telv',nominal,imperfective,3rd,singular,a
32,atelv'i,:telv',nominal,imperfective,3rd,singular,a
32,atelv'i,atelv',nominal,imperfective,3rd,singular,a
32,atelv'i,atel,verby,perfective,,,
32,atelv'i,tel,verby,perfective,3rd,singular,a
32,atelv'i,:tel,verby,perfective,3rd,singular,a
32,atelv'i,atel,verby,perfective,3rd,singular,a
32,atelv'i,atel,verby,imperfective,,,
32,atelv'i,tel,verby,imperfective,3rd,singular,a
32,atelv'i,:tel,verby,imperfective,3rd,singular,a
32,atelv'i,atel,verby,imperfective,3rd,singular,a
32,atelv'i,atelv'i,nominal,,,,
32,atelv'i,telv'i,nominal,,3rd,singular,a
32,atelv'i,:telv'i,nominal,,3rd,singular,a
32,atelv'i,atelv'i,nominal,,3rd,singular,a
33,ateyohv'i,ateyohv',nominal,imperfective,,,
33,ateyohv'i,teyohv',nominal,imperfective,3rd,singular,a
33,ateyohv'i,:teyohv',nominal,imperfective,3rd,singular,a
33,ateyohv'i,ateyohv',nominal,imperfective,3rd,singular,a
33,ateyohv'i,ateyoh,verby,perfective,,,
33,ateyohv'i,teyoh,verby,perfective,3rd,singular,a
33,ateyohv'i,:teyoh,verby,perfective,3rd,singular,a
33,ateyohv'i,ateyoh,verby,perfective,3rd,singular,a
33,ateyohv'i,ateyoh,verby,imperfective,,,
33,ateyohv'i,teyoh,verby,imperfective,3rd,singular,a
33,ateyohv'i,:teyoh,verby,imperfective,3rd,singular,a
33,ateyohv'i,ateyoh,verby,imperfective,3rd,singular,a
33,ateyohv'i,ateyohv'i,nominal,,,,
33,ateyohv'i,teyohv'i,nominal,,3rd,singular,a
33,ateyohv'i,:teyohv'i,nominal,,3rd,singular,a
33,ateyohv'i,ateyohv'i,nominal,,3rd,singular,a
34,atithahsti,atithahst,nominal,imperfective,,,
34,atithahsti,tithahst,nominal,imperfective,3rd,singular,a
34,atithahsti,:tithahst,nominal,imperfective,3rd,singular,a
34,atithahsti,atithahst,nominal,imperfective,3rd,singular,a
34,atithahsti,atithahsti,nominal,,,,
34,atithahsti,tithahsti,nominal,,3rd,singular,a
34,atithahsti,:tithahsti,nominal,,3rd,singular,a
34,atithahsti,atithahsti,nominal,,3rd,singular,a
35,atithohti,atithoht,nominal,imperfective,,,
35,atithohti,tithoht,nominal,imperfective,3rd,singular,a
35,atithohti,:tithoht,nominal,imperfective,3rd,singular,a
35,atithohti,atithoht,nominal,imperfective,3rd,singular,a
35,atithohti,atithohti,nominal,,,,
35,atithohti,tithohti,nominal,,3rd,singular,a
35,atithohti,:tithohti,nominal,,3rd,singular,a
35,atithohti,atithohti,nominal,,3rd,singular,a
36,atla,atla,nominal,,,,
36,atla,tla,nominal,,3rd,singular,a
36,atla,:tla,nominal,,3rd,singular,a
36,atla,atla,nominal,,3rd,singular,a
37,atlawa'tv'i,atlawa'tv',nominal,imperfective,,,
37,atlawa'tv'i,tlawa'tv',nominal,imperfective,3rd,singular,a
37,atlawa'tv'i,:tlawa'tv',nominal,imperfective,3rd,singular,a
37,atlawa'tv'i,atlawa'tv',nominal,imperfective,3rd,singular,a
37,atlawa'tv'i,atlawa't,verby,perfective,,,
37,atlawa'tv'i,tlawa't,verby,perfective,3rd,singular,a
37,atlawa'tv'i,:tlawa't,verby,perfective,3rd,singular,a
37,atlawa'tv'i,atlawa't,verby,perfective,3rd,singular,a
37,atlawa'tv'i,atlawa't,verby,imperfective,,,
37,atlawa'tv'i,tlawa't,verby,imperfective,3rd,singular,a
37,atlawa'tv'i,:tlawa't,verby,imperfective,3rd,singular,a
37,atlawa'tv'i,atlawa't,verby,imperfective,3rd,singular,a
37,atlawa'tv'i,atlawa'tv'i,nominal,,,,
37,atlawa'tv'i,tlawa'tv'i,nominal,,3rd,singular,a
37,atlawa'tv'i,:tlawa'tv'i,nominal,,3rd,singular,a
37,atlawa'tv'i,atlawa'tv'i,nominal,,3rd,singular,a
38,atle'ihsti,atle'ihst,nominal,imperfective,,,
38,atle'ihsti,tle'ihst,nominal,imperfective,3rd,singular,a
38,atle'ihsti,:tle'ihst,nominal,imperfective,3rd,singular,a
38,atle'ihsti,atle'ihst,nominal,imperfective,3rd,singular,a
38,atle'ihsti,atle'ihsti,nominal,,,,
38,atle'ihsti,tle'ihsti,nominal,,3rd,singular,a
38,atle'ihsti,:tle'ihsti,nominal,,3rd,singular,a
38,atle'ihsti,atle'ihsti,nominal,,3rd,singular,a
39,atlehsato,atlehsato,nominal,,,,
39,atlehsato,tlehsato,nominal,,3rd,singular,a
39,atlehsato,:tlehsato,nominal,,3rd,singular,a
39,atlehsato,atlehsato,nominal,,3rd,singular,a
40,atlehskv'i,atlehskv',nominal,imperfective,,,
40,atlehskv'i,tlehskv',nominal,imperfective,3rd,singular,a
40,atlehskv'i,:tlehskv',nominal,imperfective,3rd,singular,a
40,atlehskv'i,atlehskv',nominal,imperfective,3rd,singular,a
40,atlehskv'i,atlehsk,verby,perfective,,,
40,atlehskv'i,tlehsk,verby,perfective,3rd,singular,a
40,atlehskv'i,:tlehsk,verby,perfective,3rd,singular,a
40,atlehskv'i,atlehsk,verby,perfective,3rd,singular,a
40,atlehskv'i,atlehsk,verby,imperfective,,,
40,atlehskv'i,tlehsk,verby,imperfective,3rd,singular,a
40,atlehskv'i,:tlehsk,verby,imperfective,3rd,singular,a
40,atlehskv'i,atlehsk,verby,imperfective,3rd,singular,a
40,atlehskv'i,atlehskv'i,nominal,,,,
40,atlehskv'i,tlehskv'i,nominal,,3rd,singular,a
40,atlehskv'i,:tlehskv'i,nominal,,3rd,singular,a
40,atlehskv'i,atlehskv'i,nominal,,3rd,singular,a
41,atli'ato,atli'ato,nominal,,,,
41,atli'ato,tli'ato,nominal,,3rd,singular,a
41,atli'ato,:tli'ato,nominal,,3rd,singular,a
41,atli'ato,atli'ato,nominal,,3rd,singular,a
42,atlihstohti,atlihstoht,nominal,imperfective,,,
42,atlihstohti,tlihstoht,nominal,imperfective,3rd,singular,a
42,atlihstohti,:tlihstoht,nominal,imperfective,3rd,singular,a
42,atlihstohti,atlihstoht,nominal,imperfective,3rd,singular,a
42,atlihstohti,atlihstohti,nominal,,,,
42,atlihstohti,tlihstohti,nominal,,3rd,singular,a
42,atlihstohti,:tlihstohti,nominal,,3rd,singular,a
42,atlihstohti,atlihstohti,nominal,,3rd,singular,a
43,atolanvhsti,atolanvhst,nominal,imperfective,,,
43,atolanvhsti,tolanvhst,nominal,imperfective,3rd,singular,a
43,atolanvhsti,:tolanvhst,nominal,imperfective,3rd,singular,a
43,atolanvhsti,atolanvhst,nominal,imperfective,3rd,singular,a
43,atolanvhsti,atolanvhsti,nominal,,,,
43,atolanvhsti,tolanvhsti,nominal,,3rd,singular,a
43,atolanvhsti,:tolanvhsti,nominal,,3rd,singular,a
43,atolanvhsti,atolanvhsti,nominal,,3rd,singular,a
44,atonihski,atonihsk,nominal,imperfective,,,
