corpus_id,entry_no,user_selected,definition,stative,class,post_root_morpheme,h_grade,g_grade,metathesis_involved,set_a_b,stem_type,metathesis_strategy,middle_voice,plural,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
77,81,,he/she is saying it,False,vnh-ih-a,,,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
78,82,x,he/she is running over him/her,False,cause,,atinvt,atinvt,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
78,82,,he/she is running over him/her,False,cause,,invt,invt,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
79,83,,he/she is hiding,False,hvsk-han,,atihskal,atihskal,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
79,83,,he/she is hiding,False,hvsk-han,,ihskal,ihskal,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
80,84,,he/she is leaving it behind,False,a,,tihsiy,tihsiy,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
80,84,,he/she is leaving it behind,False,a,leaving,tihs,tihs,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
80,84,,he/she is leaving it behind,False,a,,tihsiy,tihsiy,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
80,84,,he/she is leaving it behind,False,a,leaving,tihs,tihs,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
82,86,,he/she is drinking it,False,sk-h[imp2],,atitha,atitha,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
82,86,,he/she is drinking it,False,sk-h[imp2],,itha,itha,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
85,89,,he/she is scratching,False,sk-s-la,,atlako,atlako,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
85,89,,he/she is scratching,False,sk-s-la,,lako,lako,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
87,91,,he/she is turning off the road,False,rev-e,,atl,atl,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
87,91,,he/she is turning off the road,False,rev-e,,l,l,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
88,92,,he/she is taking revenge against him/her,False,apl[imp3],,atletsh,atletsh,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
