corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
294,301,he/she is paying him/her,FullEventful,akwhiyv'eh,tsiyakwiyv'eh,akwhiyv'eh,ukwhiyv'el,hiyakwiyvhsi,ukwhiyv'eht
296,303,he/she is tromping on him/her,FullEventful,alahsta'eh,tsiyalahsta'eh,alahsta'ehsk,ulahsta'elh,hiyalahsta'vla,ulahsta'eht
297,304,he/she is stepping on him/her,FullEventful,alahstvhsk,tsiyalahstvhsk,alahstvhsk,ulahstvn,hiyalahstv'vka,ulahstvt
298,305,he/she is playing ball,FullEventful,alahskalih,kalahskalih,alahskalihsk,ulahskalvh,halahskala,ulahskalht
300,307,he/she is taking a step,FullEventful,alahskv',kalahskv',alahskvhsk,ulahskvhs,halahskvna,ulahskvhst
305,312,he/she is placing it in an upright position (refers to a long object),FullEventful,alehtih,kaletih,alehtihsk,ulehthan,halehta,ulehtoht
306,313,he/she is standing in a certain spot,FullEventful,alehvhsk,kale'vhsk,alehvhsk,ulenh,halehvka,uleht
307,314,he/she is stopping,FullEventful,alewhihstih,kalewihstih,alewhihstihsk,ulewhihsthan,halewhihsta,ulewhihstoht
308,315,he/she is stopping him/her,FullEventful,alewhihstohtih,tsiyalewihstohtih,alewhihstohtihsk,ulewhihstohthan,hiyalewihstohta,ulewhihstohtoht
309,316,he/she is starting,FullEventful,alenih,kaleni',alenihsk,ulenvh,halena,ulenht
311,318,it’s boiling,FullEventful,alitlih,,alitlihsk,ulitlvh,,ulilht
314,321,he/she is thanking him/her,FullEventful,alihelitsheh,tsiyali'elitsheh,alihelitsheh,ulihelitshel,hiyali'elitshihsi,ulihelitsheht
315,322,he/she is happy,FullEventful,alihelik,kali'elik,alihelik,ulihelits,haliheliki,ulihelihst
317,324,he/she is exchanging it,FullEventful,ali'iti',kali'iti',ali'itihsk,uli'it,hali'ita,uli'itihst
318,325,he/she is running away,FullEventful,alithi',kalithi',alithihsk,ulithihs,halithi,ulithihst
320,327,he/she is taking his/her ring off,FullEventful,aliyehsuhsthki',kaliyehsuhsthki',aliyehsuhsthkihsk,uliyehsuhsthkihs,haliyehsuhsthki,uliyehsuhsthkihst
322,329,he/she is putting a ring on his/her finger,FullEventful,aliyehsuhsthvhsk,kaliyehsuhsthvhsk,aliyehsuhsthvhsk,uliyehsuhsthan,haliyehsuhsthvka,uliyehsuhsthvhst
324,331,he/she is spitting,FullEventful,altsikwhsk,kaltsikwhsk,altsikwhsk,ultsikwh,haltsikwha,ultsikwhst
325,332,he/she is ascending,FullEventful,alhsalati',kalihsalati',alhsalatihsk,ulhsalatan,halhsalatvka,ulhsalatot
327,334,he/she is eating a meal,FullEventful,alhstayvhvhsk,kalihstayvhvhsk,alhstayvhvhsk,ulhstayvnh,halhstayvhvka,ulhstayht
329,336,he/she is helping,FullEventful,alhstelih,kalihstelih,alhstelihsk,ulhstelvh,halhstela,ulhstelht
330,337,he/she is taking off his/her cap,FullEventful,alhstule',kalihstule',alhstulehsk,ulhstulehs,halhstulaki,ulhstulehst
331,338,he/she is washing his/her hair,FullEventful,alhstuleh,kalihstuleh,alhstulehsk,ulhstuleh,halhstula,ulhstulht
332,339,he/she is putting on a cap,FullEventful,alhstuli',kalihstuli',alhstulihsk,ulhstulan,halhstulvka,ulhstulot
334,341,he/she is taking a seat,FullEventful,alhstvlhuhsk,kalihstvlhuhsk,alhstvlhuhsk,ulhstvlhun,halhstvlhuka,ulhstvlhuhst
335,342,he/she is shaking his/her head,FullEventful,alhstvnhih,kalihstvnhih,alhstvnhih,ulhstvnhil,halhstvnhka,ulhstvnht
336,343,he/she is dancing,FullEventful,alhski',kalihski',alhskihsk,ulhskihs,halhski,ulhskihst
337,344,he/she is permitting him/her,FullEventful,alhskolhtaneh,tsiyalihskolhtaneh,alhskolhtaneh,ulhskolhtanel,hiyalihskolhtahsi,ulhskolhtaneht
338,345,he/she is nodding his/her head,FullEventful,alhskuhsk,kalihskuhsk,alhskuhsk,ulhskuyh,halhskuyha,ulhskuhst
339,346,it’s ending,FullEventful,alhskwati',,alhskwatihsk,ulhskwat,,ulhskwatihst
340,347,he/she is sticking his/her head out,FullEventful,alhskwaluti',kalihskwaluti',alhskwalutihsk,ulhskwalutan,halhskwalutvka,ulhskwalutot
341,348,he/she is taking his/her hat off,FullEventful,alhskwethuhki',kalihskwethuhki',alhskwethuhkihsk,ulhskwethuhkihs,halhskwethuhki,ulhskwethuhkihst
342,349,he/she is putting his/her hat on,FullEventful,alhskwethuhvhsk,kalihskwethuhvhsk,alhskwethuhvhsk,ulhskwethunh,halhskwethuhvka,ulhskwethuhst
344,351,he/she is setting a goal,FullEventful,alhsohstih,kalihsohstih,alhsohstihsk,ulhsohsthan,halhsohsta,ulhsohstoht
345,352,he/she is smelling it (refers to sniffing),FullEventful,alhsvhstih,kalihsvhstih,alhsvhstihsk,ulhsvhsthan,halhsvhsta,ulhsvhstoht
355,362,they are gathering,FullEventful,anatalhihsih,otsatalhihsih,anatalhihsihsk,unatalhihsanh,itsatalhihsa,unatalhihsoht
356,363,it’s lightning,FullEventful,anakalih,,anakalihsk,unakalvh,,
359,366,they are getting together,FullEventful,analikohvhsk,otsalikohvhsk,analikohvhsk,unalikonh,itsalikohvka,unalikht
361,368,he/she is attempting it,FullEventful,anelhtih,kanelhtih,anelhtihsk,unelhthan,hanelhta,unelhtoht
362,369,he is getting married,FullEventful,anelati',kanelati',anelatihsk,unelat,hanelata,unelatihst
