corpus_id,entry_no,definition,prediction,class,post_root_morpheme,h_grade,g_grade,translocutive,translocutive_imp_only,partitive,distributive,set_a_b,stem_type,allow_h_metathesis,middle_voice,middle_voice_h_metathesis,plural,ka_variant,aki_1st,uwa_v,3rd_person_object,metathesis_involved
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,False,False,b,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,False,False,b,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,True,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,True,False,b,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,True,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,True,False,b,vowel_a,False,ata_:,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,False,False,b,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,False,False,b,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,True,False,a,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,True,False,b,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,True,False,a,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,True,True,False,b,vowel_a,False,ata_:,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,False,False,b,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,False,False,b,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,True,False,a,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,True,False,b,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,True,False,a,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,True,False,b,vowel_a,False,at,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,False,False,b,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,False,False,a,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,False,False,b,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,True,False,a,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,False,True,False,b,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,True,False,a,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,alen,,False,True,True,False,b,vowel_a,False,at,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,False,False,b,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,False,False,b,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,True,False,a,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,True,False,b,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,True,False,a,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,True,False,b,vowel_a,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,False,False,b,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,False,False,a,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,False,False,b,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,True,False,a,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,False,True,False,b,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,True,False,a,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,atalen,,False,True,True,False,b,vowel_a,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,False,False,b,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,False,False,b,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,True,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,True,False,b,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,True,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,True,False,b,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,False,False,False,b,vowel_a,False,ata,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,False,False,a,vowel_a,False,ata,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,len,,False,True,False,False,b,vowel_a,False,ata,False,False,False,False,False,True,False
