corpus_id,entry_no,definition,singular,plural,animate
207,566,war,tanhawa,,
208,570,Vian,Danhuko'i,,
209,579,terrapin,takhsi,,
210,580,padlock,takhsi,,
211,590,turnip,takwhsani,,
212,591,woodpecker,talala,,
213,598,Tahlequah,Dalikwa,,
214,605,horsefly,tamaka,,
215,612,Christmas,Danihstayohihv'i,,
216,624,flint,tawihskala,,
217,626,mushroom,tawoli,,
218,627,cork,tawoliyuhsti,,
219,630,sack,tekalhti,,
220,640,June,tehaluyi,,
221,649,marriage,titshvhsti,,
222,650,murderer,titahihi,tinatahihi,
223,651,courthouse,titahi'litahsti'i,tsunatahi'litahsti'i,
224,652,camera,titalhilohstihski,,
225,653,picture,titalhilohsthanv'i,,
226,654,cross,titanhawita,tsutanhawita,
227,655,conjurer,titanhehsehski,tinatanhehsehski,
228,656,medicine man,titanhvwihski,tinatanhvwihski,
229,657,surgeon,titayhelhohi,tinatayhelhohi,
230,659,false teeth,titanhthohsti,,
231,660,cemetery,titanihsohti'i,tsunatanihsohti'i,
232,661,police officer,titaniyihski,tinataniyihski,
233,662,cook,titahstayvhvhski,tinatahstayvhvhski,
234,663,barber,titahstoyehski,tinatahstoyehski,
235,664,jail,titahstuti'i,tsunatahstuti'i,
236,665,leader,titathinhitohi,tinatathinhitohi,
237,666,lender,titatholhstihski,tinatatholhstihski,
238,667,Baptist,Ditawohski,Dinatawohski,
239,668,student,titelhohkwahski,tinatelhohkwahski,
240,669,teacher,titeyhohvhski,tinateyhohvhski,
241,671,meeting place,titlohihsti'i,,
242,672,excuse,titlvkwhihstohti,,
243,673,pear,tikatvti,,
244,674,church,tikalawihsti'i,tsunilawihsti'i,
245,676,farmer,tikalokihski,tinilokihski,
246,677,dumplings,tikalvnvhi,,
247,678,announcement,tikanotsalhti,,
248,679,pantry,tikanhsoti'i,,
249,680,his ribs,tikanulatsi,,
250,681,oven,tikathti'i,,
251,682,gig,tikathihsti,,
252,683,papers,tikowheli,,
253,684,pencil,tikowheloti,,
254,685,discussion (refers to Biblical discussion),tikohsihsohti,,
255,686,mud dauber,tikulhtihski,tinulhtihski,
256,687,judge,tikukhtihski,tinukhtihski,
257,688,one that kills,tihihi,tinihihi,
258,689,telephone,tilhinohehti'i,tsunalhinohehti'i,
259,690,jumper,tilhthateki,tinalhthateki,
260,691,clothing,tinhawo,,
261,692,bed covers,tinhawohstohti,,
262,693,wrestler,tinhehihi,tinanhehihi,
263,694,carpenter,tinhehskehski,tinanhehskehski,
264,695,spurs,tiyhvkihsti,,
265,697,Cherokee (refers to written Cherokee),Ditsalaki,,
266,698,east,tikhalvkv'i,,
267,699,song book,tikhanokihsti,,
268,700,angel,tikhanowatitohi,tinikhanowatitohi,
269,701,law,tikhanowatvhsti,,
270,702,firefighter,tikhtlatihski,tinhtlatihski,
271,703,sharpener,tikhtlvhti,,
272,705,eyeglasses,tikhthinvthti,,
273,706,binoculars,tikhthohti,,
274,707,playing cards,tikwhanayohsti,,
275,708,pepper,tikwhayoti,,
276,709,scissors,tilhstoyhti,,
277,711,brothers (dl excluded),tinatanhvlhi,,
278,712,toy,tinelhtohti,,
279,713,enemies,tinitanhawi,,
280,714,dresser,tihsehihsti'i,,
281,715,numbers,tihsehsti,,
282,716,paint,tihsuwhihsti,,
283,717,drill,tithalehsti,,
284,718,iron,tithehsti,,
285,719,lawyer,tithiyohihi,tinathiyohihi,
286,720,poke,tla'ita,,
287,721,bat,tlameha,,
288,722,leech,tlanuhsi,,
289,723,bluejay,tlayhka,,
290,724,Jay,Dlayhkv'i,,
291,725,garden,tlokehsi,,
292,726,purple martin,tlutlu,,
293,730,Sunday,Dotakwahskv'i,,
294,731,Saturday,Dotakwitena,,
295,732,Monday,Dotakwonhv'i,,
296,735,mosquito,tohsa,,
297,736,ant,tohsvta'li,,
298,739,his/her family,tutathinha'v'i,,
299,749,September,Dulihsti,,
300,752,fork (refers to fork in tree),tulotskv'i,,
301,754,October,Duninhti,,
302,759,truth,tuyukhtv'i,,
303,768,sea,ekwoni,,
304,770,resident,ehi,anehi,
305,771,Indigenous,ehiya'i,anehiya'i,
306,773,animal (refers to non-domesticated animal),enha'i,,
307,788,soil,kata,,
308,790,flag,kata'ti,tikata'ti,
309,791,crock,katakuku,,
310,792,clay,katakwala,,
311,795,plow,katalukoti,tikatalukoti,
312,798,his/her heel,katikeni,tikatikeni,
313,810,bread,katu,,
314,812,cooperative labor (where involving a community),katuki,,
315,813,town,katuhv'i,,
316,816,hill,katuhsi,,
317,817,cake,katu ukanahsta,,
318,819,cucumber,kakama,,
319,820,paddle,kakawehsti,tikakawehsti,
320,825,wheel,kakwathti,tikakwathti,
321,827,wedge,kahathti,tikahathti,
