corpus_id,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
380,he/she is drawing a line,hsta2nv22n-hv3hsk,hsta2nv22n-hv3hsk,hsta2nv22n-hv3hsk,hsta2nv22n-ha3n,hsta2nv22n-hv21ka2,hsta2nv2n-ht
381,he/she is following him/her,hsta32wa2t-e33k,hsta32wa2t-e33k,hsta32wa2t-e33k,hsta32wa2t-v33hs,hsta21wa2t-u21ka2,hsta21wa2t-v21hst
382,he/she is helping him/her,hste22l-i3h,hste22l-i3h,hste22l-i23hsk,hste22l-v22h,hste23l-a2,hste2l-ht
383,he/she is braiding it,hste33y-o2h,hste33y-o2h,hste33y-o2h,hste23y-o32l,hste22y-a2ka2,hste23y-o32t
384,he/she is eating it (refers to a long object),hsti23k-i3',hsti23k-i3',hsti23k-i32hsk,hsti33k-,hsti23k-a2,hsti23k-i32hst
386,he/she is crushing it,hst-o33',hst-o33',hst-o33hsk,hst-o33',hst-o23tsa2,hst-o21hst
388,he/she is trimming it (refers to hair‚ grass‚ hedge; but not paper‚ cloth),hsto22y-e3h,hsto22y-e3h,hsto22y-e23hsk,hsto22y-e23h,hsto23y-a2,hsto2y-ht
390,he/she is opening it,hstu3-'i2',hstu3-'i2',hstu3-'i21hsk,hstu3-'i21hs,hstu2-'i2,hstu2-'i21hst
392,he/she is sandwiching it,hstv23ha3l-hv2hsk,hstv23ha3l-hv2hsk,hstv23ha3l-hv2hsk,hstv23ha3l-ha2n,hstv22ha2l-hv21ka2,hstv23ha3l-ht
400,he/she is reprimanding him/her,hska32-k,hska32-k,hska32-k,hska32-ts,hska21-ki2,hska21-yhst
405,he/she is committing a crime,hska2nv32-k,hska2nv32-k,hska2nv32-k,hska2nv32-ts,hska2nv21-ki2,hska2nv21-yhst
411,he/she is gnawing it,hsko22k-i3',hsko22k-i3',hsko22k-i32hsk,hsko33k-,hsko23k-a2,hsko23k-i32hst
412,he/she is mourning for him/her,hsko23n-hi3h,hsko23n-hi3h,hsko23n-hi3h,hsko23n-hi3l,hsko23n-hka2,hsko23n-hst
416,it’s fading,hsko23lv32-k,,hsko23lv32-k,hsko23lv32-ts,,hsko23lv32-yhst
419,he/she is finishing it,hskw-a2t-i33',hskw-a2t-i3',hskw-a2t-i32hsk,hskw-a3t-,hskw-a2t-a2,hskw-a2t-i21hst
421,he/she is catching him/her (refers to a falling person or object),hskwa32lh-e2',hskwa32lh-e2',hskwa32lh-e21hsk,hskwa32lh-e21hs,hskwa21lh-a2ki2,hskwa21lh-e21hst
423,it’s getting shorter,hskwa2lo32-k,hskwa2lo32-k,hskwa2lo32-k,hskwa2lo32-ts,hskwa2lo21-ki2,hskwa2lo21-yhst
424,he/she is breaking it (refers to a long object),hskwa32l-hsk,hskwa32l-hsk,hskwa32l-hsk,hskwa32l-hs,hskwa2l-a2,hskwa21l-hst
425,he/she is hitting him/her on the head with it (refers to a long object),hskwa2l-v33n-i2h,hskwa2l-v33n-i2h,hskwa2l-v33n-i2h,hskwa2l-v23n-i32l,hskwa2l-v22n-i21ka2,hskwa2l-v23n-i32hst
