corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
75,79,it’s scattering,FullStative,stative,,atikaleyok,,atikaleyok,utikaleyots,,
75,79,it’s scattering,InfEventful,g-ts[inf3],,,,,,,utikaleyo
75,79,it’s scattering,InfEventful,sg-s-a[inf2],,,,,,,utikaleyoy
75,79,it’s scattering,InfEventful,sk-h,,,,,,,utikaleyoy
75,79,it’s scattering,InfEventful,hih-hil,,,,,,,utikaleyoy
75,79,it’s scattering,InfEventful,oh-al,,,,,,,utikaleyoy
76,80,he/she is spinning,FullEventful,oh-ol[inf2],,atikwalvtey,katikwalvtey,atikwalvtey,utikwalvtey,hatikwalvtey,utikwalvtey
77,81,he/she is saying it,FullEventful,vnh-ih-a,,at,kat,at,ut,hat,ut
78,82,he/she is running over him/her,FullEventful,cause,,atinvt,tsiyatinvt,atinvt,utinvt,hiyatinvt,utinvt
78,82,he/she is running over him/her,FullEventful,cause[perf3],,atinvt,tsiyatinvt,atinvt,utinvth,hiyatinvt,utinvt
78,82,he/she is running over him/her,FullEventful,cause[pres2],,atinvtih,tsiyatinvtih,atinvt,utinvt,hiyatinvt,utinvt
78,82,he/she is running over him/her,FullEventful,cause[pres2-perf3],,atinvtih,tsiyatinvtih,atinvt,utinvth,hiyatinvt,utinvt
79,83,he/she is hiding,FullEventful,hvsk-han,,atihskal,katihskal,atihskal,utihskal,hatihskal,utihskal
80,84,he/she is leaving it behind (refers to a long object),FullEventful,a,,atihsiy,tsitihsiy,atihsiy,utihsiy,hitihsiy,utihsiy
82,86,he/she is drinking it,FullEventful,sk-h,,atitha,katitha,atitha,utitha,hatit,utitha
82,86,he/she is drinking it,FullEventful,sk-h[imp2],,atitha,katitha,atitha,utitha,hatitha,utitha
85,89,he/she is scratching,FullEventful,sg-s-la,,atlako,katlako,atlako,utlako,hatlako,utlako
85,89,he/she is scratching,FullEventful,sg-s-hst,,atlako,katlako,atlako,utlako,hatlakola,utlako
87,91,he/she is turning off the road,FullEventful,rev-e,,atl,katl,atl,utl,hatl,utl
88,92,he/she is taking revenge against him/her,FullEventful,apl,,atletsh,tsiyatletsh,atletsh,utletsh,hiyatletshi,utletsh
88,92,he/she is taking revenge against him/her,FullEventful,apl[imp2],,atletsh,tsiyatletsh,atletsh,utletsh,hiyatletshi,utletsh
88,92,he/she is taking revenge against him/her,FullEventful,apl[imp3],,atletsh,tsiyatletsh,atletsh,utletsh,hiyatletsh,utletsh
92,96,he/she is pouring liquid into a container,FullEventful,i-a-i,,atl,tsitl,atl,utl,hitlik,utl
94,98,it’s pouring into a container (refers to liquid),FullEventful,g-ts[inf3],,atli,,atli,utli,,utli
94,98,it’s pouring into a container (refers to liquid),FullStative,stative,,atlik,,atlik,utlits,,
94,98,it’s pouring into a container (refers to liquid),InfEventful,g-ts[inf3],,,,,,,utli
94,98,it’s pouring into a container (refers to liquid),InfEventful,sg-s-a[inf2],,,,,,,utliy
94,98,it’s pouring into a container (refers to liquid),InfEventful,sk-h,,,,,,,utliy
94,98,it’s pouring into a container (refers to liquid),InfEventful,hih-hil,,,,,,,utliy
94,98,it’s pouring into a container (refers to liquid),InfEventful,oh-al,,,,,,,utliy
95,99,he/she is drawing a liquid out of a container,FullEventful,ih-vh,,atl,tsitl,atl,utl,hitl,utlv
95,99,he/she is drawing a liquid out of a container,FullEventful,ih-vh[inf2],,atl,tsitl,atl,utl,hitl,utl
96,100,he/she is pouring a liquid into a container,FullEventful,cause,,atlihst,tsitlihst,atlihst,utlihst,hitlihst,utlihst
96,100,he/she is pouring a liquid into a container,FullEventful,cause[perf3],,atlihst,tsitlihst,atlihst,utlihsth,hitlihst,utlihst
96,100,he/she is pouring a liquid into a container,FullEventful,cause[pres2],,atlihstih,tsitlihstih,atlihst,utlihst,hitlihst,utlihst
96,100,he/she is pouring a liquid into a container,FullEventful,cause[pres2-perf3],,atlihstih,tsitlihstih,atlihst,utlihsth,hitlihst,utlihst
98,102,he/she is crying,FullEventful,hih-hil,,atloy,katloy,atloy,utloy,hatloy,utloy
99,103,he/she is getting off,FullEventful,sg-s-hi-hihst,,atloy,katloy,atloy,utloy,hatlo,utlo
100,104,he/she is bragging,FullEventful,sg-s-a,,atlvkw,katlvkwa,atlvkw,utlvkw,hatlvkwh,utlvkw
101,105,he/she is catching up with him/her,FullEventful,sk-h,,atlvtha,tsiyatlvtha,atlvtha,utlvtha,hiyatlvt,utlvtha
101,105,he/she is catching up with him/her,FullEventful,sk-h[imp2],,atlvtha,tsiyatlvtha,atlvtha,utlvtha,hiyatlvtha,utlvtha
107,111,he/she is acting silly,FullEventful,vnh-ih-a,,atvnel,katvnel,atvnel,utvnel,hatvnel,utvnel
109,113,he/she is preparing it,FullEventful,cause,,atvnv'ihst,katvnv'ihst,atvnv'ihst,utvnv'ihst,hatvnv'ihst,utvnv'ihst
109,113,he/she is preparing it,FullEventful,cause[perf3],,atvnv'ihst,katvnv'ihst,atvnv'ihst,utvnv'ihsth,hatvnv'ihst,utvnv'ihst
109,113,he/she is preparing it,FullEventful,cause[pres2],,atvnv'ihstih,katvnv'ihstih,atvnv'ihst,utvnv'ihst,hatvnv'ihst,utvnv'ihst
109,113,he/she is preparing it,FullEventful,cause[pres2-perf3],,atvnv'ihstih,katvnv'ihstih,atvnv'ihst,utvnv'ihsth,hatvnv'ihst,utvnv'ihst
112,116,it is shining (refers to sun or moon),FullEventful,ih-ihi,,akal,,akal,ukal,,ukal
112,116,it is shining (refers to sun or moon),FullStative,stative,,akalih,,akalihsk,ukalihs,,
112,116,it is shining (refers to sun or moon),InfEventful,g-ts,,,,,,,ukalihi
112,116,it is shining (refers to sun or moon),InfEventful,hg-hts,,,,,,,ukali
112,116,it is shining (refers to sun or moon),InfEventful,sg-s-hi-hihst,,,,,,,ukali
112,116,it is shining (refers to sun or moon),InfEventful,sg-s-hst,,,,,,,ukalihi
112,116,it is shining (refers to sun or moon),InfEventful,sk-h,,,,,,,ukalihi
112,116,it is shining (refers to sun or moon),InfEventful,ih-il,,,,,,,ukalih
112,116,it is shining (refers to sun or moon),InfEventful,hih-lh,,,,,,,ukalihi
112,116,it is shining (refers to sun or moon),InfEventful,i-a-i,,,,,,,ukalih
112,116,it is shining (refers to sun or moon),InfEventful,ih-ihi,,,,,,,ukal
112,116,it is shining (refers to sun or moon),InfEventful,oh-al,,,,,,,ukalihi
112,116,it is shining (refers to sun or moon),InfEventful,rev-i,,,,,,,ukalih
113,117,he/she is breaking it (refers to a flexible object),FullEventful,sg-s-a[inf2],,akal,tsikal,akal,ukal,hika'l,ukal
115,119,he/she is licking it,FullEventful,i-a-i,,akanat,tsikanat,akanat,ukanat,hikanat,ukanat
117,121,he/she is warming it,FullEventful,cause,,akanawht,tsikanawot,akanawht,ukanawht,hikanawht,ukanawht
117,121,he/she is warming it,FullEventful,cause[perf3],,akanawht,tsikanawot,akanawht,ukanawhth,hikanawht,ukanawht
117,121,he/she is warming it,FullEventful,cause[pres2],,akanawhtih,tsikanawotih,akanawht,ukanawht,hikanawht,ukanawht
117,121,he/she is warming it,FullEventful,cause[pres2-perf3],,akanawhtih,tsikanawotih,akanawht,ukanawhth,hikanawht,ukanawht
118,122,it’s getting warm,FullEventful,sg-s-hi-hihst,,akanawo,,akanawo,ukanawo,,ukanawo
118,122,it’s getting warm,FullEventful,sg-s-hst,,akanawo,,akanawo,ukanawo,,ukanawohi
118,122,it’s getting warm,FullStative,stative,,akanawohsk,,akanawohsk,ukanawohs,,
118,122,it’s getting warm,InfEventful,g-ts,,,,,,,ukanawohi
118,122,it’s getting warm,InfEventful,hg-hts,,,,,,,ukanawo
118,122,it’s getting warm,InfEventful,sg-s-hi-hihst,,,,,,,ukanawo
118,122,it’s getting warm,InfEventful,sg-s-hst,,,,,,,ukanawohi
118,122,it’s getting warm,InfEventful,sk-h,,,,,,,ukanawohi
118,122,it’s getting warm,InfEventful,ih-il,,,,,,,ukanawoh
118,122,it’s getting warm,InfEventful,hih-lh,,,,,,,ukanawohi
118,122,it’s getting warm,InfEventful,i-a-i,,,,,,,ukanawoh
118,122,it’s getting warm,InfEventful,oh-al,,,,,,,ukanawohi
118,122,it’s getting warm,InfEventful,rev-i,,,,,,,ukanawoh
119,123,it’s raining,FullStative,stative,,akahsk,,akahsk,ukanhan,,
119,123,it’s raining,InfEventful,hvsk-han,,,,,,,ukan
119,123,it’s raining,InfEventful,hvsk-nh[inf2],,,,,,,ukan
119,123,it’s raining,InfEventful,episodic,,,,,,,ukan
119,123,it’s raining,InfEventful,apl-active-a,,,,,,,ukan
119,123,it’s raining,InfEventful,ih-vh,,,,,,,ukan
119,123,it’s raining,InfEventful,vnh-ih-a,,,,,,,ukan
127,132,he/she is eating it (refers to a single solid food),FullEventful,i-a-i,,ak,tsik,ak,uk,hik,uk
128,133,he/she is picking it up,FullEventful,rev-gi,,a,tsi,a,u,hi,u
128,133,he/she is picking it up,FullEventful,rev-i,,ak,tsik,ak,uk,hik,uk
130,135,he/she is in agony,FullEventful,g-ts,,akilhiyo,tsikiliyo,akilhiyo,ukilhiyo,hikilhiyo,ukilhiyo
133,138,he/she is chewing it,FullEventful,o,,akihst,tsikihst,akihst,ukihst,hikihst,ukihst
