definition,3rd present,1st present,3rd completive past,3rd incompletive habitual,2nd imperative,3rd infinitive,
he's standing in a certain spot,a1le2hv.3sga,ga.2le.2?v.3sga,u1le2hnv23?i,a1le2hv.2sgo3?i,ha.2le2hv1ga,u2leh2di,
he's getting up (from sitting or from involuntarily assumed prone position),da1le2hv.3sga,de2ga.3le.2?v.3sga,du1le2hnv23?i,da1le2hv.2sgo3?i,ta.2le3hv1ga,ju2leh2di,
1. they are getting together  2. they are dating  (when the dual form is used),a1na.2li3go2hv.3sga,o1ja.2li3go2hv.3sga,u1na.2li3go2hnv23?i,a1na.2li3go2hv.2sgo3?i,i1ja.2li1go2hv1ga,u2na.2li1kdi,
he's baking it,ga3du2hv.3sga,ji3du2hv.3sga,u1wa3du2hnv23?i,ga3du2hv.2sgo3?i,hi1du2hv1ga,u2wa1tdi,
he's putting it in water,gu2hv.3sga,gu.2?v.3sga,u1wu2hnv23?i,gu2hv.2sgo3?i,hu2hv1ga,u.2wuh2di,
he's hitting him on the eye,a1kte2lu2hv.3sga,ji2ga1te2lu2hv.3sga,u1kte2lu2hnv23?i,a1kte2lu2hv.2sgo3?i,hi2ga1te2lu2hv1ga,u2kte2luh2di,
"he's shaking him, it",a1te3lv2hv.3sga,ji1te3lv2hv.3sga,u1te3lv2hnv23?i,a1te3lv2hv.2sgo3?i,hi1te1lv23na,u2tehl1di,
"he, it's moving (without changing location)",ahl1te3lv2hv.3sga,ga.2li1te3lv2hv.3sga,uhl1te3lv2hnv23?i,ahl1te3lv2hv.2sgo3?i,hahl2te1lv2hv1ga,uhl2tehl1di,
he's shopping,a1da2na2ne3sv2hv.3sga,ga.2da2na.2ne3sv2hv.3sga,u1da2na.2ne3sv2hnv23?i,a1da2na.2ne1sv2hv1sgo3?i,ha.2da2na.2ne1sv2hv1ga,u2da2na.2ne1sv23hv.3sdi,
he's eating a meal,al1sda32yv2hv.3sga,ga.2li1sda32yv2hv.3sga,ul1sda32yv2hnv23?i,al1sda32yv2hv.2sgo3?i,hal2sda1yv2hv1ga,ul2sdayh1di,
"he, it's destroying it",a1yo3sta.2no.3hv.3sga,ji.2yo3sta.2no.3hv.3sga,u1yo3sta.2no.3hnv3?i,a1yo3sta.2no.3hv.3sgo3?i,hi.2yo1sta.2no.2hna,u2yo1sta.2no.3hv.3sdi,
he's preaching,ahl1ja.2do23hv.3sga,ga.2li1ja.2do23hv.3sga,uhl1ja.2do23hnv3?i,ahl1ja.2do23hv.3sgo3?i,hahl2ja.2do2hv1ga,uhl2ja.3tdi,
he's playing,da3ne2lo23hv.3sga,de2ga32ne2lo23hv.3sga,du3ne2lo23hnv3?i,da3ne2lo23hv.3sgo3?i,ta3ne2lo23hv32ga,ju1nehl23di,
he's teaching,da1de2yo23hv.3sga,de2ga.3de1yo23hv.3sga,du1de3yo23hnv.3?i,da1de2hyo2hv.3sgo3?i,ta.2de3hyo2hv1ga,ju2de2hyo3hdi,nazalization
he's fishing,a1su23hv.3sga,ga1su23hv.3sga,u1su23hnv3?i,a1su23hv.3sgo3?i,ha.2su2hv1ga,u2suh3di,
it's (the ground) becoming frosty,a1hyah2tv23hv.3sga,,u1hyah2tv23hnv3?i,a1hyah2tv23hv.3sgo3?i,,u2hyah2tv3tdi,
he's putting it in a hole or a container,ga.2hlv.3sga,ji.?2lv.3sga,u1hla.2nv3?i,ga.2hlv.3sgo.3?i,hi.2hlv1ga,uhl2di,
he's hiding it,gv1sga.2hlv.3sga,gv1sga.2hlv.3sga,u1wa2sga.2hla.3nv3?i,gv2sga.2hlv.3sgo.3?i,hv2sga.2hlv1ga,u.2wa2sgahl2di,
he's hiding,a1di2sga.2hlv.3sga,ga.2di1sga.2hlv.3sga,u1di2sga.2hla.3nv3?i,a1di2sga.2hlv.2sgo.3?i,ha.2di2sga.2hlv1ga,u2di2sgahl2di,
he's putting a handle on a tool,gu2ha.2hlv.3sga,gu.2?a.2hlv.3sga,u1wu2ha.2hla.3nv3?i,gu2ha.2hlv.3sgo.3?i,hu2ha.2hlv1ga,u.2wu2hahl2di,
1. he's advertising it  2. he's announcing it,de2ga.3no2ja.2hlv.3sga,de2ji.3no2ja.?2lv.3sga,du1no2ja.2hla.3nv3?i,de2ga.3no2ja.2hlv.3sgo.3?i,ti.2no3ja.2hlv1ga,ju2no2jahl2di,
he's frying it,gv2ja.2hlv.3sga,gv1ja.2hlv.3sga,u1wv2ja.2hla.3nv3?i,gv2ja.2hlv.3sgo.3?i,hv2ja.2hlv1ga,u.2wv2jahl2di,
he's contaminating it (with visible foreign matter),ka.2ne3sa.2hlv.3sga,ji1ne3sa.2hlv.3sga,u1hne3sa.2hla.3nv3?i,ka.2ne3sa.2hlv.3sgo.3i,hi.2hne1sa.2hlv1ga,u2hne1sahl3di,
he's soaking it (flexible object),gv3wa.2hlv.3sga,gv3wa.2hlv.3sga,u1wv3wa.2hla.3nv3?i,gv3wa.2hlv.3sgo.3?i,hv1wa.2hlv1ga,u2wv1wahl3di,
he's linking it,ki.2hlv.3sga,gv.2?i.2hlv.3sga,u1hwi.2hla.2nv3?i,ki.2hlv.3sgo.3?i,hv.2hi.2hlv1ga,u2hwihl2di,
he's collecting from him,ka.2ni.2hlv.3sga,ji1ni.2hlv.3sga,u1hni.2hla.3nv3?i,ka.2ni.2hlv.3sgo.3?i,hi1ni.2hlv1ga,u2hnihl2di,
he's getting full,go2hlv.3sga,go1lv.3sga,u1wo2hlv.3sv3?i,go2hlv.3sgo.3?i,ho2hlv.2hi,u.2wo2hlv.3hi.3sdi,
"1. he's whittling it., 2. he's carving it., 3. he's hewing it",a1yo2hlv.3sga,ji.2yo1lv.3sga,u1yo2hla.3nv3?i,a1yo2hlv.3sgo.3?i,hi.2yo2hlv1ga,u2yo2hlv.3sdi,
he's putting on shoes,da1la32su2hlv.3sga,de2ga.3la32su2hlv.3sga,du1la32su2hla.3nv3?i,da1la32su2hlv.3sgo.3?i,ta.2la32su2hlv32ga,ju2la1suhl23di,
he's drawing a line,a1sda.2nv2hnv.3sga,ji1sda.2nv2hnv.3sga,u1sda.2nv2hna.3nv3?i,a1sda.2nv2hnv.3sgo.3?i,hi.2sda.2nv2hnv1ga,u2sda.2nvnh2di,
he's hanging it up,ga.2tv.3sga,ga.?2dv.3sga,u1ta.2nv3?i,ga.2tv.3sgo.3?i,ha.2tv1ga,u2tdi,
he's diving,a1de2tv.3sga,ga2de3dv.2sga,u1de23ti.3nv3?i,a1de2tv.3sgo.3?i,ha.2de2tv1ga,u2de2tdi,
he's setting a post (or other long object) into the ground,ge2tv.3sga,ge?2dv.3sga,u1we2ti.3nv3?i,ge2tv.3sgo.3?i,he2tv1ga,u.2we2tdi,
he's putting it into a fire,gv2tv.3sga,gv1dv.3sga,u1wv2ta.3nv3?i,gv2tv.3sgo.3?i,hv2tv1ga,u.2wv2tdi,
He's putting fuel (solid) into a fire,da1hv2tv.3sga,de2ji.3?v2tv.3sga,du1hv2ta.3nv3?i,da1hv2tv.3sgo.3?i,ti.2hv3tv1ga,ju2hv2tdi,
he's putting on glasses,da1kti.2nv2tv.3sga,de2ga.3ga1ti.2nv2tv.3sga,du1kti.2nv2ta.3nv3?i,da1kti.2nv2tv.3sgo.3?i,ta.3kti2nv2tv1ga,ju2kti.2nv2tdi,
he's piling it up,ga3sv2tv.3sga,ji3sv2tv.3sga,u1wa3sv2ta.3nv3?i,ga3sv2tv.3sgo.3?i,hi1sv2tv1ga,u.2wa1sv23tdi,
he's building a fire,go23tv.3sga,go3dv.2sga,u1wo23ta.3nv23?i,go23tv.3sgo3?i,ho2tv1ga,u.2wo23tdi,
he's putting a ring on his finger,a1li.2ye32su2stv.3sga,ga.2li.2ye32su2stv.3sga,u1li.2ye32su2sta.3nv3?i,a1li.2ye32su2stv.3sgo.3?i,ha.2li.2ye1su2stv1ga,u2li.2ye1su23stv.3sdi,
he's turning on a light,a1jv2stv.3sga,ji.2jv1stv.2sga,u1jv2sta.3nv3?i,a1jv2stv.3sgo.3?i,hi.2jv2stv.1ga,u2jv2stv.3sdi,
he's mixing it in,a1su2yv.3sga,ga1su2yv.3sga,u1su2yv.3nv23?i,a1su2yv3sgo3?i,ha.2su2yv.2?v1ga,u2su2yv1di,
he's ironing,da1te23sga,de2ji32te23sga,du1te23sv3?i,da1te23sgo.3?i,ti2tv3la,ju2te23sdi,
"he's rowing, paddling",ga2ga.2we23sga,ji2ga.2we3sga,u1wa2ga.2we23sv3?i,ga2ga.2we23sgo.3?i,hi2ga.2we23hi,u.2wa2ga.2we23sdi,
he's scratching,a1dla.2go23sga,ga.2dla.2go3sga,u1dla.2go3sv3?i,a1dla.2go23sgo.3?i,ha.2dla.2go23la,u2dla.2go23sdi,
"he's scratching him, it",ga2ja.2li.2go23sga,ji2ya2ja.2li.2go3sga,u1wa2ja.2li.2go23sv3?i,ga2ja.2li.2go23sgo.3?i,hi2ya2ja.2li.2go23la,u.2wa2ja.2li.2go23sdi,
he's amazed,a1sgwa.2ni.2go23sga,ji1sgwa.2ni.2go23sga,u1sgwa.2ni.2go23sv32?i,a1sgwa.2ni.2go23sgo.3?i,hi.2sgwa.2ni.2go23hi,u2sgwa.2ni.2go23hi.3sdi,
he's digging it,a1sgo23sga,ga1sgo23sga,u1sgo23sv3?i,a1sgo23sgo.3?i,ha2sgo23la,u2sgo23sdi,
he's embarrassed,a1de2ho23sga,ga.2de.2?o23sga,u1de2ho23sv3?i,a1de2ho23sgo.3?i,ha.2de2ho23hi,u2de2ho23hi.3sdi,
it's leaking,gv2gu23sga,-----,u1wa2gu23sv3?i,gv2gu23sgo.3?i,-----,u.2wa2gu23sdi,
he's ordering it,a1da.2nv23sga,ga.2da.2nv3sga,u1da.2nv23sv3?i,a1da.2nv23sgo.3?i,ha.2da.2nv23la,u2da.2nv23sdi,
a long object is falling from an upright position,ga.2le2yv23sga,ji.2le2yv3sga,u1le2yv23sv3?i,ga.2le2yv23sgo.3?i,hi.2le2yv23hi,u2le2yv23hi.3sdi,
he's sweeping it,gv2no2sa3sga,gv2no1sa.2sga,u1wa2no2sa.2hv23?i,gv2no2sa.2sgo3?i,hv2no23sa,u.2wa2no2sa.2sdi,
she's cooking a meal,a1da2sda32yv2hv3sga,ga.2da1sda32yv.2hv3sga,u1da1sda32yv2hnv23?i,a1da2sda32yv2hv.2sgo3?i,ha.2da2sda1yv2hv1ga,u2da2sdayh1di,
he's putting a flexible object in a hole or in a container,ga.2lv3sga,ji.2lv3sga,u1lv3nv23?i,ga.2lv3sgo3?i,hi.2lv.2?v1ga,u2lv1di,
he's quilting it,a1hyeh2ga.2hlv3sga,ji1yeh2ga.2hlv.3sga,u1hyeh2ga.2hla.3nv3?i,a1hyeh2ga.2hlv.3sgo.3?i,hi2hyeh2ga.2hlv1ga,u2hyeh2gahl2di,
"he's crossing (a road, bridge, etc.)",de2ga.3na.2diw3sga,de2ji.3na.2diw3sga,du1na.2diw3sv23?i,de2ga.3na.2diw3sgo3?i,ti.2na.3di1hwi,ju2na.2di1hwi.3sdi,
he's stinging it,ga2jvy3sga,ji2ya2jvy3sga,u1wa2jv3hyv23?i,ga2jvy3sgo3?i,hi2ya2jv1hya,u.2wa2jvy1sdi,
he's smoking it,go2ksga,go2gi1sga,u1wo2ksv23?i,go2ksgo3?i,ho23gi,u.2wo2ksdi,
he's clawing him,de2ka.3nugosga,de2ji32nu2go23sga,du1hnu2go23sv3?i,de2ka.3nu2go23sgo3?i,ti32nu2go23la,ju2hnu2go23sdi,
he's sucking it,a1sgwa.2nu32tsga,ji1sgwa.2nu32tsga,u1sgwa.2nu32tsv23?i,a1sgwa.2nu32tsgo3?i,hi.2sgwa.2nu1tsa,u2sgwa.2nu1tsdi,
he's laughing,u1ye2tsga,a1gi.2ye2tsga,u1ye2tsv23?i,u1ye2tsgo3?i,ja.2ye23tsa,u2ye2tsdi,
"he's dreaming about him, it",a1sgi2tsga,ji2ya1sgi2tsga,u1sgi2tsv23?i,a1sgi2tsgo3?i,hi2ya1sgi23tsa,u2sgi2tsdi,
he's peeling it,a1hyah2ke23tsga,ji1yah2ke23tsga,u1hyah2ke23tsv3?i,a1hyah2ke23tsgo.3?i,hi.2hyah2ke23tsa,u2hyah2ke23tsdi,
it's bending,a1hli.2yvhgwidvsga,-----,u1hli.2yvh2gwi.2dv32nv23?i,a1hli.2yvh2gwi.2dv32sgo3?i,-----,u2hli.2yvh2gwi.2dv1di,
he's bragging,a1dlv23kwsga,ga.2dlv23gwa32sga,u1dlv23kwsv23?i,a1dlv23kwsgo.3?i,ha.2dlv23kwa,u2dlv23kwi.3sdi,
he's spitting,a1lji3kwsga,gal2ji3kwsga,ul1ji3gwv23?i,al1ji3kwsgo3?i,hal2ji1kwa,ul2ji1kwsdi,
He's choking on it,u1hyvh2ji.2nv2tga,a1ki.2yvh2ji.2nv2tga,u1hyvh2ji.2nv2tsv23?i,u1hyvh2ji.2nv2tgo3?i,cha.2yvh2ji.2nv2tgi,u2hyvh2ji.2nv2tsdi,
"he's putting him inside, (somewhere large enough to move around)",ayh1di.ha,ji2yv1di.3ha,uyh1ta.2nv3?i,ayh1di23sgo.3?i,hi2yv1da,uyh2doh3di,
He's mingling with a group,ke.2la.3di3do1ha,ge.2la.2di3do1ha,u1hwe.2la.2di3do1lv23?i,ke.2la.3di3do1ho3?i,he.2la2di23da,u2hwe.2la.3di3da1sdi,
he has time,u1dla.2nv2da.?de.2ha,a1gwa.2dla.2nv2da.?3de.2ha,u1dla.2nv2da.?3de2lv23?i,u1dla.2nv2da.?3de2ho3?i,ja.2dla2nv2da.2di1si,u2dla.2nv2da.?2deh3di,
he's yawning,u1ha.2hlo3ge.2ha,a1ka.2hlo3ge.2ha,u1ha.2hlo3ge2hv23?i,u1ha.2hlo3ge2sgo3?i,ja.2ha.2hlo1gv23la,u2ha.2hlo1geh3di,
he's building a house,a1hne3sge.2ha,ga1ne3sge.2ha,u1hne3sge2hv23?i,a1hne3sge2sgo3?i,ha2hne1sgv23la,u2hne1sgeh2di,
he's thanking him,a1li2he23li32che.2ha,ji2ya.2li.2?e23li32che.2ha,u1li2he23li32che2lv23?i,a1li2he23li32che2ho3?i,hi2ya.2li.2?e2li1chi.2si,u2li2he23li32cheh2di,
he's taking revenge against him,a1dle3che.2ha,ji2ya.2dle3che.2ha,u1dle3che2lv23?i,a1dle3che.2ho3?i,hi2ya.2dle1chi.2si,u2dle1cheh3di,
he's working,du1lv23hwi.3sda1ne.2ha,da1gi.2lv23hwi.3sda1ne.2ha,du1lv23hwi.3sda1ne2lv23?i,du1lv23hwi.3sda1ne2ho3?i,di2ja.3lv3hwi2sda1si,ju2lv23hwi.3sda1neh2di,
1. he's lonesome  2. he's homesick,u1hi2soh2da32ne.2ha,a1gi.2hi2soh2da32ne.2ha,u1hi2soh2da32ne2lv23?i,u1hi2soh2da32ne2ho3?i,ja.2hi2soh2da1si,,
1. he's agreeing with him 2. he's vouching for him,go2hiyh2da32ne.2ha,ji2yo.2?iyh2da32ne.2ha,u1wo2hiyh2da32ne2lv23?i,go2hiyh2da32ne2ho3?i,hi2yo.2?iyh2da1si,u.2wo2hiyh2da1neh3di,
he's permitting him,al1sgohl2da32ne.2ha,ji2ya.2li1sgohl2da32ne.2ha,ul1sgohl2da32ne2lv23?i,al1sgohl2da32ne2ho3?i,hi2ya.2li1sgohl2da1si,ul2sgohl2da1neh3di,
"he's aching, hurting",u1we2hi.2sda32ne.2ha,a1gwe2hi.2sda32ne.2ha,u1we2hi.2sda32ne2lv23?i,u1we2hi.2sda32ne2ho3?i,je2hi.2sda1si,u.2we2hi.2sda1neh3di,
he's giving him a living thing,ga2ka32ne.2ha,ji2ya1ka32ne.2ha,u1wa2ka32ne2lv23?i,ga2ka32ne2ho3?i,hi2ya1ka1si,u.2wa2ka1neh3di,
he's committing adultery,a1da2hyo3ne.2ha,ga.2da1yo3ne.2ha,u1da2hyo3ne2lv23?i,a1da2hyo3ne.2ho3?i,ha.2da2hyo2nv23la,u2da2hyo2neh3di,
he's doing it,a1dv3ne.2ha,ga.2dv2ne.2ha,u1dv3ne2lv23?i,a1dv3ne2ho3?i,ha.2dv1ga,u2dvnh1di,
he's giving him a flexible object,ga.2nv3ne.2ha,ji2nv3ne.2ha,u1nv3ne2lv23?i,ga.2nv3ne2ho3?i,hi2nv1si,u2nv1neh3di,
he's giving it to him,a1hne.2ha,ji1ne.2ha,u1hne23lv3?i,a1hne23ho.3?i,hi.2?v.2si,u2hneh3di,
it's happening to him,ul1sda32hne.2ha,a1gwal2sda32hne.2ha,ul1sda32hne2lv23?i,ul1sda32hne2ho3?i,jal2sda1si,ul2sda1hneh3di,
"he's fanning him, it",ka.2no3ye.2ha,ji1no3ye.2ha,u1hno3ye2hv23?i,ka.2no3ye2sgo3?i,hi1no2yv23la,u2hno2yeh3di,
he's fanning himself,a1da.2hno3ye.2ha,ga.2da1no3ye.2ha,u1da.2hno3ye.2hv23?i,a1da.2hno3ye2sgo3?i,ha.2da.2hno2yv23la,u2da.2hno3yeh3di,
he's stirring it,a1su3ye.2ha,ga1su3ye.2ha,u1su3ye2hv23?i,a1su3ye2sgo3?i,ha.2su2yv23la,u2su2yeh3di,
he has a nosebleed,gi23ga de2ka.3yv23sgwo.3?i.2ha,gi23ga de2ga32yv23sgwo.3?i.2ha,gi23ga du1hyv23sgwo32lv23?i,gi23ga de23ka.3yv23sgwo.3?i.2ho3?i,gi23ga ti.2hyv3sgwo2ja,gi23ga ju2hyv23sgwo.3?i.2sdi,
"he's tying him, it up",ga.2hlv3?i.2ha,ji2ya.?2lv3?i.2ha,u1hlv3lv23?i,ga.2hlv3?i.2ho3?i,hi2ya.?2lv23ja,u2hlv1sdi,
he's saying it,a1di.2ha,ga.2di3?a,u1dv2hnv23?i,a1di23sgo.3?i,ha.2da,u2tdi,
he's riding it (anything that can be straddled),a1ki.2lv32di.2ha,ji2ya1ki.2lv32di.2ha,u1ki.2lv32ta.2nv23?i,a1ki.2lv32di2sgo3?i,hi2ya1ki.2lv1da,u2ki.2lv1doh2di,
"he's running over him, it",a1di23nv32di.2ha,ji2ya.2di23nv32di.2ha,u1di23nv32ta.2nv23?i,a1di23nv32di2sgo3?i,hi2ya.2di2nv1da,u2di23nv32doh2di,
he's bouncing it,a1da.2di23nv32di.2ha,ga.2da.2di23nv32di.2ha,u1da.2di23nv32ta.2nv23?i,a1da2di23nv32di2sgo3?i,ha.2da.2di23nv1da,u2da.2di23nv32doh2di,
he's making him fall from an elevated psition,ga.2lonh3di.2ha,ji2lonh3di.2ha,u1lonh3ta.2nv23?i,ga.2lonh3di23sgo.3?i,hi2lonh1da,u2lonh1doh3di,
"he's interpreting, translating it",a1hnehl3di.2ha,ga1nehl3di.2ha,u1hnehl3ta.2nv23?i,a1hnehl3di2sgo3?i,ha2hnehl2da,u2hnehl3doh2di,
he's taking turns with him,a1da.2ne23dli3yv1sdi.2ha,ga.2da.2ne23dli3yv1sdi.2ha,u1da.2ne23dli3yv1sta.2nv23?i,a1da.2ne23dli3yv1sdi2sgo3?i,ha.2da.2ne2dli2yv1sda,u2da.2ne23dli3yv1sdoh2di,
he's waking him up,a1ye3?i.2sdi.2ha,ji2ye3?i.2sdi.3ha,u1ye3?i.2sta.3nv3?i,a1ye3?i.2sdi23sgo.3?i,hi2ye.2?i.2sda,u2ye.2?i.2sdoh3di,
"he's listening to it, him",a1tv2da32sdi.2ha,ji2ya1tv2da32sdi.2ha,u1tv2da32sta.2nv23?i,a1tv2da32sdi2sgo3?i,hi2ya1tv2da1sda,u2tv2da1sdoh3di,
1. He's bluffing him. 2. he's deceiving him 3. he's tricking him,ga.2lo2na32sdi.2ha,ji2lo2na32sdi.2ha,u1lo2na32sta.2nv23?i,ga.2lo2na32sdi2sgo3?i,hi2lo2na1sda,u2lo2na1sdoh3di,
he's winking,a1kta32sdi.2ha,ga.2ga1ta32sdi.2ha,u1kta32sta.2nv23?i,a1kta32sdi2sgo3?i,ha.2kta1sda,u2kta1sdoh3di,
he's closing his eyes,da1kta32sdi.2ha,de2ga.3ga1ta32sdi.2ha,du1kta32sta.2nv23?i,da1kta32sdi2sgo3?i,ta.3kta1sda,ju2kta1sdoh3di,
he has a chill,u1hna.2wa32sdi.2ha,a1ki.2na.2wa32sdi.2ha,u1hna.2wa32sta.2nv23?i,u1hna.2wa32sdi2sgo3?i,cha.2na.2wa1sda,u2hna.2wa1sdoh3di,
he's wringing it out,ga3jv2wa32sdi.2ha,ji3jv2wa32sdi.2ha,u1wa3jv2wa32sta.2nv23?i,ga3jv2wa32sdi2sgo3?i,hi1jv2wa1sda,u.2wa1jv23wa32sdoh2di,
he's stretching,a1da2hya32sdi.2ha,ga.2da1ya32sdi.2ha,u1da2hya32sta.2nv23?i,a1da2hya32sdi2sgo3?i,ha.2da2hya1sda,u2da2hya1sdoh3di,
he's dodging,da1da.2nv23di32sdi.2ha,de2ga.3da.2nv23di32sdi.2ha,du1da.2nv23di32sta.2nv23?i,da1da.2nv23di32di2sgo3?i,ta.2da.3nv2di1sda,ju2da.2nv23di32sdoh2di,
he's starting it,a1hni.2gi32sdi.2ha,ga1ni.2gi32sdi.2ha,u1hni.2gi32sta.2nv23?i,a1hni.2gi32sdi2sgo3?i,ha2hni.2gi1sda,u23hni.3gi1sdoh2di,
he's praying,a1da2do23li32sdi.2ha,ga.2da2do23li32sdi.2ha,u1da2do23li32sta.2nv23?i,a1da2do23li32sdi2sgo3?i,ha.2da2do2li1sda,u2da2do23li32sdoh2di,
he's pouring liquid into a container,a1dli32sdi.2ha,ji.2dli32sdi.2ha,u1dli32sta.2nv23?i,a1dli32sdi2sgo3?i,hi.2dli1sda,u2dli1sdoh2di,
"he's slamming him, it",de2ga.3lv2dv23ni32sdi.2ha,de2ji3lv2dv23ni32sdi.2ha,du1lv2dv23ni32sta.2nv23?i,de2ga.3lv2dv23ni32sdi2sgo3?i,ti2lv3dv2ni1sda,ju2lv2dv23ni32sdoh2di,
he's embarrassing him,a1de2ho23hi.3sdi.2ha,ji2ya.2de2?o23hi.3sdi.2ha,u1de2ho23hi.23sta.2nv23?i,a1de2ho23hi.3sdi2sgo3?i,hi2ya.2de.2?o2hi.2sda,u2de2ho23hi.3sdoh2di,
he's turning it,ga2dey23sdi.2ha,ji2de23ya32sdi.2ha,u1wa2dey23sta.2nv23?i,ga2dey23sdi2sgo3?i,hi2dey2sda,u.2wa2dey23sdoh2di,
he's spinning it,ga2di3gwa.2lv2dey23sdi.2ha,ji2di3gwa.2lv2dey23sdi.2ha,u1wa2di3gwa.2lv2dey23sta.2nv23?i,ga2di3gwa.2lv2dey23sdi2sgo3?i,hi2di1gwa.2lv2dey23sda,u.2wa2di1gwa.2lv2dey23sdoh2di,
"he's releasing it, (involuntarily)",du3sga.2le3sdi.2ha,da1gwa3sga.2le3sdi.2ha,du3sga.2le3sta.2nv23?i,du3sga.2le3sdi2sgo3?i,di.2ja3sga.2le3sda,ju1sga.2le1sdoh3di,
"1. he's drawing a picture of him, it; 2. he's photographing him, it",da1hli2lo3sdi.2ha,de2ji3ya.2dli1lo3sdi.2ha,du1hli2lo3sta.2nv23?i,da1hli2lo3sdi2sgo3?i,ti2ya.3dli2lo3sda,ju2hli2lo1sdoh3di,
"he's smothering him, it",a1ha.2wo3sdi.2ha,ji.2?a.2wo3sdi.2ha,u1ha.2wo3sta.2nv23?i,a1ha.2wo3sdi2sgo3?i,hi.2?a.2wo1sda,u2ha.2wo1sdoh2di,
"he's smothering, suffocating",u1ha.2wo3sdi.2ha,a1gi.2ha.2wo3sdi.2ha,u1ha.2wo3sta.2nv23?i,u1ha.2wo3sdi2sgo3?i,ja.2ha.2wo1sda,u2ha.2wo1sdoh3di,
he's holding his breath,a1ta.2hwo3sdi.2ha,ga.?2da.2hwo3sdi.2ha,u1ta.2hwo3sta.2nv23?i,a1ta.2hwo3sdi2sgo3?i,ha.2ta.2hwo1sda,u2ta.2hwo1sdoh3di,
"1. he's breaking it., 2. he's spoiling him",a1yo3sdi.2ha,ji2yo3sdi.2ha,u1yo3sta.2nv23?i,a1yo3sdi2sgo3?i,hi2yo1sda,u2yo1sdoh3di,
he's being married,da1ga.2chv3sdi.2ha,dv1gwa.2chv3sdi2ha,da1ga.2chv3sta.2nv23?i,da1ga.2chv3sdi2sgo3?i,wi.2de23ja.3chv1sda,ja.2ga.2chv1sdoh3di,
he's making him angry,ka.2na23lv3sdi.2ha,ji1na23lv3sdi.2ha,u1hna23lv3sta.2nv23?i,ka.2na23lv3sdi2sgo3?i,hi1na2lv2sda,u2hna23lv3sdoh2di,
he's vomiting,du1ksdi.2ha,da1gi.2ksdi.3ha,du1ksta.2nv3?i,du1ksdi23sgo.3?i,di.2ja.3ksda,ju2ksdoh3di,
it's (sun or moon) shining,a1ga3li.2ha,-----,u1ga3li2sv23?i,a1ga3li2sgo3?i,-----,u2ga2li23hi.3sdi,
he's greeting him,a1yo3li.2ha,ji2yo3li.3ha,u1yo23li32lv23?i,a1yo3li.2ho3?i,hi2yo2li.2ga,u2yo23li32sdi,
"he's joking, he's teasing",ga.2we3hli.2ha,ji.2we3hli.2ha,u1we3hlv2hnv23?i,ga.2we3hli2sgo3?i,hi.2we1hlv23na,u2we1hlvh3di,
he's speaking,ga.2wo3ni.2ha,ji.2wo3ni.2ha,u1wo3ni2sv23?i,ga.2wo3ni2sgo3?i,hi.2wo1ni23hi,u2wo1ni23hi.3sdi,
he's hitting him on the abdomen with a long object,a1sgwo2ha.2lv3ni.2ha,ji1sgwo2ha.2lv3ni.2ha,u1sgwo2ha.2lv23ni32lv23?i,a1sgwo2ha.2lv3ni.2ho3?i,hi1sgwo2ha.2lv2ni1ga,u2sgwo2ha.2lv23ni32sdi,
he's hitting him on the head with a long object,a1sgwa.2lv3ni.2ha,ji1sgwa.2lv3ni.2ha,u1sgwa.2lv23ni32lv23?i,a1sgwa.2lv3ni.2ho3?i,hi1sgwa.2lv2ni1ga,u2sgwa.2lv2ni32sdi,
he's hitting him on the mouth,a1hu2lv3ni.2ha,ji.2?u2lv3ni.2ha,u1hu2lv23ni32lv23?i,a1hu2lv3ni.2ho3?i,hi.2?u2lv2ni1ga,u2hu2lv23ni32sdi,
"he's slapping him, it",a1sih2tv3ni.2ha,ji2ya1sih2tv3ni.2ha,u1sih2tv23ni32lv23?i,a1sih2tv3ni.2ho3?i,hi2ya1sih2tv2ni1ga,u2sih2tv23ni32sdi,
he's beating him up,ga.2lv3hni.2ha,ji2lv3hni.2ha,u1lv3hni.2lv23?i,ga.2lv3hni.2ho3?i,hi2lvnh1ga,u2lvn1sdi,
he's changing his socks,da1li23yo3si.2ha,de2ga3li23yo32si.2ha,du1li23yo3sv2hv23?i,da1li23yo3si2ho3?i,ta2li3yo2sa,ju2li23yo3svh2di,
he hates him,ga.2ni.2gwa32ti.2ha,ji2ni.2gwa32ti.2ha,u1ni.2gwa32ti.2hlv23?i,ga.2ni.2gwa32ti.2ho3?i,hi2ni.2gwa1ti.2ga,u2ni.2gwa1ti.3sdi,
he's peeking through,a1kti.2ha,ga.2ga1ti.2ha,u1kta.2hnv23?i,a1kti23sgo.3?i,ha.2kta,u2ktoh2di,
he has a cold,u2hyv2dla u1ni3yi.2ha,u2hyv2dla a1gi.?3ni2yi.3ha,u2hyv2dla u1ni3yv2hv23?i,u2hyv2dla u1ni3yi23sgo.3?i,u2hyv2dla wi2ja?3ni2ya,u2hyv2dla u2niyh23di,
he's looking around,a1kte3no.2ha,ji.2ga1te3no.2ha,u1kte23no32lv23?i,a1kte3no.2ho3?i,hi.2kte2na.2ga,u2kte23na32sdi,
