corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
922,952,he/she is causing it to sound,FullEventful,ih-ohd[pres2-perf3],,kanoyhvlhihstih,tsinoyvlihstih,kanoyhvlhihst,unoyhvlhihsth,hinoyhvlhihst,unoyhvlhihst
924,954,it is blowing (refers to wind),FullStative,stative,,kanolv'vhsk,,kanolv'vhsk,unolvn,,
965,995,it’s dripping,FullStative,stative,,kahskwo'ih,,kahskwo'ih,uwahskwol,,
978,1008,he/she is resting him/her,FullEventful,ih-ohd,,kawehsolvhst,tsiyawehsolvhst,kawehsolvhst,uyawehsolvhst,hiyawehsolvhst,uyawehsolvhst
978,1008,he/she is resting him/her,FullEventful,ih-ohd[perf3],,kawehsolvhst,tsiyawehsolvhst,kawehsolvhst,uyawehsolvhsth,hiyawehsolvhst,uyawehsolvhst
978,1008,he/she is resting him/her,FullEventful,ih-ohd[pres2],,kawehsolvhstih,tsiyawehsolvhstih,kawehsolvhst,uyawehsolvhst,hiyawehsolvhst,uyawehsolvhst
978,1008,he/she is resting him/her,FullEventful,ih-ohd[pres2-perf3],,kawehsolvhstih,tsiyawehsolvhstih,kawehsolvhst,uyawehsolvhsth,hiyawehsolvhst,uyawehsolvhst
1061,1092,it’s snowing,FullStative,stative,,kuthih,,kuthihsk,uwuthanh,,
1064,1095,it’s leaking,FullStative,stative,,kvkuhsk,,kvkuhsk,uwakuhs,,
1119,1163,he/she is returning,FullEventful,hg-hts,,ika'lu,itsi'lu,ika'lu,v'ulu,tsihi'lu,
1253,1304,it’s misting,FullStative,stative,,khanuyolati',,khanuyolatihsk,unhuyola't,,
1261,1312,he/she is parting with him/her (refers to in death),FullEventful,g-ts,,khte,tsiyvte,khte,uwhte,hiyvte,uwhte'i
1261,1312,he/she is parting with him/her (refers to in death),FullEventful,g-ts[inf2],,khte,tsiyvte,khte,uwhte,hiyvte,uwhte
1262,1313,he/she is using it,FullEventful,ih-ohd,,kht,kvt,kht,uwht,hvht,uwht
1262,1313,he/she is using it,FullEventful,ih-ohd[perf3],,kht,kvt,kht,uwhth,hvht,uwht
1262,1313,he/she is using it,FullEventful,ih-ohd[pres2],,khtih,kvtih,kht,uwht,hvht,uwht
1262,1313,he/she is using it,FullEventful,ih-ohd[pres2-perf3],,khtih,kvtih,kht,uwhth,hvht,uwht
1263,1314,he/she is putting out a fire,FullEventful,i-a-i,,khtlat,kvtlat,khtlat,uwhtlat,hvhtlat,uwhtlat
1264,1315,he/she is sharpening it,FullEventful,ih-vh,,khtl,kvtl,khtl,uwhtl,hvhtl,uwhtlv
1264,1315,he/she is sharpening it,FullEventful,ih-vh[inf2],,khtl,kvtl,khtl,uwhtl,hvhtl,uwhtl
1265,1316,it is going out (refers to fire‚ light),FullEventful,sg-s-hi-hihst,,khtlo,,khtlo,uwhtlo,hvhtlo,uwhtlo
1265,1316,it is going out (refers to fire‚ light),FullEventful,sg-s-hst[imp2],,khtlo,,khtlo,uwhtlo,hvhtlo,uwhtlohi
1265,1316,it is going out (refers to fire‚ light),FullEventful,sg-s-hst,,khtlo,,khtlo,uwhtlo,hvhtlohi,uwhtlohi
1266,1317,he/she is putting it into a fire (refers to a flexible object),FullEventful,vsk,,khtv',kvtv',khtv',uwht,hvhtv',uwht
1266,1317,he/she is putting it into a fire (refers to a flexible object),FullEventful,vsk[imp2],,khtv',kvtv',khtv',uwht,hvht,uwht
1266,1317,he/she is putting it into a fire (refers to a flexible object),FullEventful,vsk-long,,kht,kvt,kht,uwht,hvhtv',uwht
1266,1317,he/she is putting it into a fire (refers to a flexible object),FullEventful,vsk-long[imp2],,kht,kvt,kht,uwht,hvht,uwht
1266,1317,he/she is putting it into a fire (refers to a flexible object),FullEventful,vsk-post-v,,khtv,kvtv,khtv,uwhtv,hvhtv,uwhtv
1267,1319,he/she is mingling with a group,FullEventful,oh-ol-a,,khelatit,ke'latit,khelatit,uwhelatit,helatit,uwhelatit
1270,1322,he/she is linking it,FullEventful,hvsg-han,,khil,kv'il,khil,uwhil,hvhil,uwhil
1285,1337,it is hanging (refers to a long object),FullStative,stative,,khtho',,khtho',,hatho',
1286,1338,he/she is hanging it up (refers to a long object),FullEventful,i-a-i,,khthohsat,kathohsat,khthohsat,uwhthohsat,hathohsat,uwhthohsat
1301,1356,there are (a number of three or more must be specified),FullStative,stative,,nani',notsi',nani',,nitsi',
1471,1537,he/she is throwing it,StativeNoImp,stative,,utek,akwatek,utek,utinvhs,,
1493,1559,he/she is sick,StativeNoImp,stative-k,,utlv,akhtlv,utlv,utlv,,
1493,1559,he/she is sick,StativeNoImp,stative,,utlvk,akhtlvk,utlvk,utlvk,,
1493,1559,he/she is sick,ImpInfEventful,g-ts,,,,,,tstlv,utlv'i
1493,1559,he/she is sick,ImpInfEventful,g-ts[inf2],,,,,,tstlv,utlv
1493,1559,he/she is sick,ImpInfEventful,sg-s-hst,,,,,,tstlvki,utlv'i
1493,1559,he/she is sick,ImpInfEventful,sg-h[imp2],,,,,,tstlvki,utlv'i
1493,1559,he/she is sick,ImpInfEventful,rev-i,,,,,,tstlvk,utlv'
1563,1629,he/she is looking for it,StativeNoImp,stative,,uyhoh,akiyhoh,uyhoh,uyhal,,
1570,1636,he/she has a cold,FullEventful,ih-vh,,uyhvtla uniy,uyhvtla aki'niy,uyhvtla uniy,uyhvtla uniy,uyhvtla witsa'niy,uyhvtla uniy
1570,1636,he/she has a cold,StativeNoImp,stative,,uyhvtla uniyih,uyhvtla aki'niyih,uyhvtla uniyihsk,uyhvtla uniyvh,,
1570,1636,he/she has a cold,ImpInfEventful,eh-a,,,,,,uyhvtla witsa'niy,uyhvtla uniy
1570,1636,he/she has a cold,ImpInfEventful,ih-vh,,,,,,uyhvtla witsa'niy,uyhvtla uniy
1570,1636,he/she has a cold,ImpInfEventful,vnh-ih-a,,,,,,uyhvtla witsa'niy,uyhvtla uniy
1632,1698,they are together,FullStative,stative-s,,unaliko,okaliko,unaliko,unaliko,itsaliko,
1632,1698,they are together,FullStative,stative,,unalikoh,okalikoh,unalikohs,unalikohs,itsalikohs,
1664,1730,he/she is receiving punishment,FullEventful,i-a-i,,uhstvt,akhstvt,uhstvt,uhstvt,tstvt,uhstvt
1664,1730,he/she is receiving punishment,ImpInfEventful,sg-s-hst,,,,,,tstvta,uhstvti
1664,1730,he/she is receiving punishment,ImpInfEventful,sg-h,,,,,,tstvt,uhstvti
1664,1730,he/she is receiving punishment,ImpInfEventful,sg-h[imp2],,,,,,tstvta,uhstvti
1664,1730,he/she is receiving punishment,ImpInfEventful,i-a-i,,,,,,tstvt,uhstvt
1671,1737,he/she is coughing,FullEventful,sg-h[imp2],,uhsiwha,akhsiwha,uhsiwha,uhsiwha,tsiwhahi,uhsiwhahi
1671,1737,he/she is coughing,ImpInfEventful,sg-s-hi-hihst,,,,,,tsiwha,uhsiwha
1671,1737,he/she is coughing,ImpInfEventful,sg-s-hst[imp2],,,,,,tsiwha,uhsiwhahi
1671,1737,he/she is coughing,ImpInfEventful,sg-s-hst,,,,,,tsiwhahi,uhsiwhahi
1671,1737,he/she is coughing,ImpInfEventful,sg-h[imp2],,,,,,tsiwhahi,uhsiwhahi
1671,1737,he/she is coughing,ImpInfEventful,rev-i,,,,,,tsiwhah,uhsiwhah
1681,1747,he/she is going to bed,FullEventful,hih-lh[imp2],,uhsv,akhsv,uhsv,uhsv,tsv,uhsv
1681,1747,he/she is going to bed,ImpInfEventful,sg-s-hst,,,,,,tsvha,uhsv
1681,1747,he/she is going to bed,ImpInfEventful,sg-h,,,,,,tsv,uhsv
1681,1747,he/she is going to bed,ImpInfEventful,sg-h[imp2],,,,,,tsvha,uhsv
1681,1747,he/she is going to bed,ImpInfEventful,hih-lh[imp2],,,,,,tsv,uhsv
1719,1785,he/she has it,FullStative,stative-h,,uwekha,akikha,uwekha,uwekha,tsekha,
1719,1785,he/she has it,FullStative,stative,,uwekhah,akikhah,uwekhah,uwekhah,tsekhah,
