class,present,imperfective,perfective,immediate,infinitive,count
hih-lh,a2,o33'i2,v23'i2,ka2,i2,5
hih-lh,a2,o33'i2,v33'i2,ka2,i2,6
hih-lh[imp2],a2,o33'i2,v23'i2,'a2,i2,3
hih-lh[imp2],a2,o33'i2,v23'i2,ha2,i2,3
husg,a2,o3'i2,v33'i2,hu21ka2,i2,1
husg,a2,o33'i2,v23'i2,hu21ka2,i2,1
hvsg-han,,,,,i2,4
hvsg-han,a2,o3'i2,v33'i2,hv21ka2,i2,16
hvsg-han,a2,o3'i2,v33'i2,hv32ka2,i2,1
hvsg-han,a2,o33'i2,v23'i2,hv21ka2,i2,2
hvsg-han[inf2],a2,o3'i2,v33'i2,hv21ka2,i2,3
hvsg-han[inf2],a2,o33'i2,v23'i2,hv21ka2,i2,1
hvsg-hn,,,,,i2,2
hvsg-hn,a2,o33'i2,v23'i2,hv21ka2,i2,8
hvsg-hn,a2,o33'i2,v23'i2,hv32ka2,i2,1
hvsg-hn,a2,o33'i2,v33'i2,hv21ka2,i2,1
hvsg-hn[inf2],a2,o33'i2,v23'i2,hv21ka2,i2,2
hvsg-hn[inf2],a2,o33'i2,v33'i2,hv21ka2,i2,1
hvsg-hn[inf2],a2,o33'i2,v33'i2,hv32ka2,i2,1
hvsg-hn[inf3],a2,o3'i2,v23'i2,hv21ka2,i2,1
hvsg-hn[inf4],a2,o3'i2,v23'i2,hv21ka2,i2,1
hvsg-n,a2,o33'i2,v23'i2,hv32ka2,i2,1
i-a-i,a2,o33'i2,v23'i2,a2,i2,28
i-a-i[perf2],a2,o33'i2,v23'i2,a2,i2,2
i-a-ihsk,a2,o33'i2,v23'i2,a2,i2,2
i-vka,a2,o33'i2,v23'i2,,i2,1
i-vka,a2,o33'i2,v23'i2,v21ka2,i2,11
i-vka,a2,o33'i2,v23'i2,v32ka2,i2,1
ih-ihi,a2,o33'i2,v23'i2,i23hi2,i2,2
ih-il,a2,o33'i2,v23'i2,i21ka2,i2,6
ih-il,a2,o33'i2,v23'i2,i2ka2,i2,1
ih-ohd,,,,,i2,3
ih-ohd,a2,o3'i2,v22'i2,a2,i2,1
ih-ohd,a2,o3'i2,v23'i2,a2,i2,4
ih-ohd,a2,o3'i2,v33'i2,a2,i2,29
ih-ohd,a2,o33'i2,v23'i2,a2,i2,40
ih-ohd[perf2],a2,o3'i2,v23'i2,a2,i2,7
ih-ohd[perf2],a2,o33'i2,v23'i2,a2,i2,1
ih-ohd[perf3],a2,o3'i2,v33'i2,a2,i2,1
ih-ohd[pres2],i2,o33'i2,v23'i2,a2,i2,1
ih-vh,a2,o3'i2,v23'i2,a2,i2,23
ih-vh,a2,o33'i2,v23'i2,a2,i2,1
ih-vh[imperf2-inf2],a2,o33'i2,v23'i2,a2,i2,1
ih-vh[inf2],a2,o3'i2,v23'i2,a2,i2,7
ih-vh[inf2],a2,o33'i2,v23'i2,a2,i2,1
o,a2,o33'i2,v23'i2,,i2,1
o,a2,o33'i2,v23'i2,o22tsa2,i2,2
o,a2,o33'i2,v23'i2,o23tsa2,i2,14
oh-al,a2,o33'i2,v23'i2,hka2,i2,3
oh-al[imp2],a2,o33'i2,v23'i2,a2ka2,i2,1
oh-ol,a2,o33'i2,v23'i2,a2ka2,i2,2
oh-ol-a,a2,o33'i2,v23'i2,a2,i2,12
oh-ol[inf2],a2,o33'i2,v23'i2,a2ka2,i2,2
oh-ol[inf3],a2,o33'i2,v23'i2,a2ka2,i2,2
ohvsg,a2,o33'i2,v23'i2,o2nha2,i2,1
ohvsg,a2,o33'i2,v33'i2,o2nha2,i2,1
ohvsg-no-o,a2,o33'i2,v33'i2,nha2,i2,1
rev-'i,a2,o33'i2,v23'i2,'i2,i2,1
rev-e,a2,o33'i2,v23'i2,a2ki2,i2,18
rev-e,a2,o33'i2,v23'i2,a3ki2,i2,3
