corpus_id,prediction,definition,furthest_corpus
1087,FullEventful,he/she is putting it into a fire,3.validated
1088,FullEventful,he/she is soaking it (refers to a flexible object),3.validated
109,FullEventful,he/she is preparing it,3.validated
112,FullEventful,it is shining (refers to sun or moon),3.validated
115,FullEventful,he/she is licking it,3.validated
117,FullEventful,he/she is warming it,3.validated
118,FullEventful,it’s getting warm,3.validated
1221,FullEventful,he/she is ascending an incline,3.validated
1224,FullEventful,he/she is making him/her angry,3.validated
1229,FullEventful,he/she is cold,3.validated
1230,FullEventful,he/she is speaking,3.validated
1231,FullEventful,he/she is prying it,3.validated
1232,FullEventful,he/she is accumulating it,3.validated
1233,FullEventful,it’s accumulating,3.validated
1234,FullEventful,he/she is mentioning it,3.validated
1235,FullEventful,it’s contaminated (refers to contaminated by visible foreign matter),3.validated
1236,FullEventful,he/she is contaminating it (refers to contaminated by visible foreign matter),3.validated
1241,FullEventful,he/she is collecting from him/her,3.validated
1246,FullEventful,he/she is telling it,3.validated
1247,FullEventful,he/she is omitting him/her,3.validated
1249,FullEventful,he/she is fanning him/her,3.validated
1254,FullEventful,he/she is straining it,3.validated
1256,FullEventful,he/she is curing him/her,3.validated
1258,FullEventful,he/she is breathing,3.validated
127,FullEventful,he/she is eating it (refers to a single solid food),3.validated
128,FullEventful,he/she is picking it up,3.validated
130,FullEventful,he/she is in agony,3.validated
1308,FullEventful,he/she is taking it off,3.validated
1309,FullEventful,he/she is putting it on,3.validated
1323,FullEventful,he/she has something on (refers to objects),3.validated
1323,FullStative,he/she has something on (refers to objects),3.validated
133,FullEventful,he/she is chewing it,3.validated
135,FullEventful,he/she is burning him/her,3.validated
136,FullEventful,it’s burning,3.validated
138,FullEventful,he/she is reading,3.validated
140,FullEventful,he/she is target practicing,3.validated
145,FullEventful,he/she is showing it to him/her,3.validated
1450,FullEventful,he/she is in prayer,3.validated
1450,FullStative,he/she is in prayer,3.validated
1451,FullEventful,he/she loves,3.validated
1451,FullStative,he/she loves,3.validated
1459,FullEventful,it’s wrinkled,3.validated
1459,FullStative,it’s wrinkled,3.validated
1462,FullEventful,he/she feels,3.validated
1462,FullStative,he/she feels,3.validated
1470,FullEventful,it’s in view,3.validated
1470,FullStative,it’s in view,3.validated
