definition,class,root,success,ambiguous_forms,notes
he/she is drawing a liquid out of a container,ih-vh[inf2],tl,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is pouring a liquid into a container,cause,tlihst,True,,
he/she is pouring a liquid into a container,cause,tlihst,True,,
he/she is pouring a liquid into a container,cause[perf3],tlihst,False,,
he/she is pouring a liquid into a container,cause[perf3],tlihst,False,,
he/she is pouring a liquid into a container,cause[pres2],tlihstih,False,,
he/she is pouring a liquid into a container,cause[pres2],tlihstih,False,,
he/she is pouring a liquid into a container,cause[pres2-perf3],tlihstih,False,,
he/she is pouring a liquid into a container,cause[pres2-perf3],tlihstih,False,,
he/she is crying,hih-hil,atloy,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is crying,hih-hil,loy,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is getting off,sk-s-hi-hihst,atloy,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is getting off,sk-s-hi-hihst,loy,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is bragging,sk-s-a,atlvkw,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is bragging,sk-s-a,lvkw,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is catching up with him/her,sk-h,atlvtha,False,,
he/she is catching up with him/her,sk-h,lvtha,False,,
he/she is catching up with him/her,sk-h[imp2],atlvtha,True,,
he/she is catching up with him/her,sk-h[imp2],lvtha,True,,
he/she is acting silly,vnh-ih-a,atvnel,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is acting silly,vnh-ih-a,vnel,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is preparing it,cause,atvnv'ihst,True,,
he/she is preparing it,cause,vnv'ihst,True,,
he/she is preparing it,cause[perf3],atvnv'ihst,False,,
he/she is preparing it,cause[perf3],vnv'ihst,False,,
he/she is preparing it,cause[pres2],atvnv'ihstih,False,,
he/she is preparing it,cause[pres2],vnv'ihstih,False,,
he/she is preparing it,cause[pres2-perf3],atvnv'ihstih,False,,
he/she is preparing it,cause[pres2-perf3],vnv'ihstih,False,,
it is shining,ih-ihi,kal,True,,
